TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.26,1,Ding Liren,Wu Wenjin,,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'h6'], ['Bd2', 'Be6'], ['Rad1', 'Kc8'], ['Rfe1', 'b6'], ['a3', 'Kb7'], ['Bc1', 'Re8'], ['h3', 'c5\n'], ['Ne4', 'Ne7'], ['b3', 'a5'], ['Nc3', 'Nc6'], ['Bb2', 'c4'], ['bxc4', 'Bxc4'], ['Ne4', 'Be6'], ['Rd2', 'Be7\n'], ['Red1', 'Rd8'], ['Kf1', 'Rxd2'], ['Rxd2', 'a4'], ['Nd4', 'Nxd4'], ['Rxd4', 'b5'], ['f4', 'h5'], ['Kf2', 'Kc6\n'], ['Kf3', 'g6'], ['Ke3', 'Rd8'], ['Rxd8', 'Bxd8'], ['Kd4', 'Be7'], ['Bc1', 'Bf5'], ['Bb2', 'b4'], ['axb4', 'Bxb4\n'], ['c3', 'a3'], ['Ba1', 'Be7'], ['c4', 'Bxe4'], ['Kxe4', 'Kc5'], ['Kd3', 'Kb4'], ['g4', 'hxg4'], ['hxg4', 'Kb3\n'], ['f5', 'gxf5'], ['gxf5', 'Ka2'], ['Bc3', 'Kb1'], ['e6', 'fxe6'], ['fxe6', 'a2'], ['Ke4', 'Ba3'], ['Kd3', 'c6\n'], ['Bd4', 'a1=Q'], ['Bxa1', 'Kxa1'], ['Kd4', 'Be7'], ['c5', 'Kb2'], ['Kc4', 'Ka3']]",0-1
7th Hainan Danzhou GM,Danzhou CHN,2016.07.09,2.3,Ding Liren,Wang Hao,,,A11,"[['c4', 'c6'], ['Nf3', 'd5'], ['g3', 'Bg4'], ['Bg2', 'e6'], ['O-O', 'Nf6'], ['d3', 'dxc4'], ['dxc4', 'Qxd1'], ['Rxd1', 'Nbd7\n'], ['b3', 'h6'], ['Nc3', 'Bb4'], ['Bb2', 'O-O-O'], ['h3', 'Bh5'], ['Nd4', 'Nc5'], ['Nc2', 'Bxc3'], ['Rxd8+', 'Rxd8\n'], ['Bxc3', 'Bxe2'], ['Bd4', 'Nce4'], ['Bxa7', 'Rd2'], ['Nd4', 'Bd1'], ['b4', 'Nxf2'], ['Nb3', 'Bxb3'], ['axb3', 'Nd3\n'], ['Bb6', 'Kb8'], ['b5', 'c5'], ['Bf3', 'Ne5'], ['Bg2', 'Nfd7'], ['Bd8', 'Rd6'], ['Kf1', 'Ng6'], ['Ke2', 'Nb6\n'], ['Rd1', 'Rxd1'], ['Kxd1', 'Nd7'], ['b6', 'Kc8'], ['Bc7', 'Ne7'], ['Kd2', 'Nc6'], ['g4', 'Nd4'], ['Kc3', 'g5\n'], ['b4', 'Ne2+'], ['Kb3', 'f6'], ['Ka4', 'Nd4'], ['bxc5', 'Nxc5+'], ['Ka5', 'Kd7'], ['Bg3', 'e5'], ['Bf2', 'Kd6\n'], ['Bd5', 'Ndb3+'], ['Kb5', 'Nd4+'], ['Ka5', 'Ndb3+'], ['Kb5', 'Nd4+']]",1/2-1/2
7th Hainan Danzhou GM,Danzhou CHN,2016.07.10,3.4,"Harikrishna,P",Ding Liren,,,C80,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['Nbd2', 'Nc5'], ['c3', 'Be7'], ['Bc2', 'd4'], ['Nb3', 'd3'], ['Bb1', 'Nxb3'], ['axb3', 'Bf5'], ['Re1', 'O-O\n'], ['h3', 'Qd7'], ['b4', 'Rfd8'], ['g4', 'Bg6'], ['Bf4', 'Qc8'], ['Ba2', 'a5'], ['e6', 'f6'], ['bxa5', 'Nxa5\n'], ['b4', 'Nc4'], ['Bxc4', 'bxc4'], ['Nd2', 'c5'], ['b5', 'Be8'], ['Rxa8', 'Qxa8'], ['b6', 'Bc6'], ['Bc7', 'Rd5\n'], ['Nxc4', 'Qa2'], ['Nd2', 'g5'], ['Nf1', 'c4'], ['Qd2', 'Qa8'], ['Ne3', 'Rb5'], ['Nxc4', 'Bh1'], ['Ne3', 'Bc5\n'], ['e7', 'Bxe3'], ['fxe3', 'Kf7'], ['e8=Q+', 'Kxe8'], ['e4', 'Bxe4'], ['Qe3', '']]",1-0
7th Hainan Danzhou GM,Danzhou CHN,2016.07.11,4.2,Ding Liren,Bu Xiangzhi,,,D42,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'c5'], ['cxd5', 'Nxd5'], ['e3', 'Nc6'], ['Bd3', 'cxd4'], ['exd4', 'Be7\n'], ['O-O', 'O-O'], ['Re1', 'Bf6'], ['Be4', 'Nce7'], ['Qd3', 'g6'], ['Bh6', 'Bg7'], ['Bg5', 'f6'], ['Bd2', 'Nxc3\n'], ['Qxc3', 'Nd5'], ['Qb3', 'b6'], ['Bb4', 'Rf7'], ['Nd2', 'Bb7'], ['Ba3', 'Qd7'], ['Nc4', 'Bf8'], ['Bxf8', 'Rfxf8\n'], ['g3', 'Rac8'], ['Bg2', 'Kg7'], ['a4', 'Rfd8'], ['a5', 'b5'], ['Nd2', 'Qc6'], ['a6', 'Ba8'], ['Qa3', 'b4\n'], ['Qa5', 'Qc2'], ['Ne4', 'Qxb2'], ['Nc5', 'Rd6'], ['Nb7', 'Rd7'], ['Nc5', 'Rd6'], ['Nb7', 'Rd7'], ['Qb5', 'Nb6\n'], ['Nc5', 'Bxg2'], ['Kxg2', 'Rd6'], ['Rab1', 'Qa2'], ['Rb3', 'Qc2'], ['Qxb4', 'Kf7'], ['Rb2', 'Qf5'], ['Ne4', 'Rdc6\n'], ['Nd6+', 'Rxd6'], ['Qxd6', 'Re8'], ['d5', 'Nxd5'], ['Rb7+', 'Re7'], ['Qb8', '']]",1-0
7th Hainan Danzhou GM,Danzhou CHN,2016.07.12,5.5,"Ivanchuk,V",Ding Liren,,,A07,"[['Nf3', 'd5'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'e5'], ['d3', 'Ne7'], ['c4', 'dxc4'], ['dxc4', 'Qxd1'], ['Rxd1', 'e4\n'], ['Nd4', 'f5'], ['Nc3', 'c6'], ['f3', 'exf3'], ['exf3', 'Na6'], ['Be3', 'Kf7'], ['Rd2', 'Re8'], ['Rad1', 'Ng8\n'], ['Kf2', 'Nf6'], ['a3', 'Nc7'], ['b4', 'Ne6'], ['Nce2', 'a5'], ['b5', 'Nxd4'], ['Nxd4', 'c5'], ['Nb3', 'b6\n'], ['Nc1', 'Ra7'], ['Bf1', 'h6'], ['Rd8', 'Rae7'], ['Rxe8', 'Kxe8'], ['Ne2', 'Rd7'], ['Re1', 'Kf7'], ['Nf4', 'g5\n'], ['Nd3', 'Ne8'], ['h4', 'Bc3'], ['Rc1', 'Bf6'], ['hxg5', 'hxg5'], ['f4', 'g4'], ['Ne5+', 'Bxe5'], ['fxe5', 'Bb7\n'], ['Be2', 'Ng7'], ['Rd1', 'Rxd1'], ['Bxd1', 'Ne6'], ['Bf4', 'Kg6']]",1/2-1/2
7th Hainan Danzhou GM,Danzhou CHN,2016.07.13,6.1,Hou Yifan,Ding Liren,,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'g6'], ['Bc4', 'Nb6'], ['Bb3', 'Bg7'], ['a4', 'dxe5'], ['a5', 'N6d7\n'], ['dxe5', 'Nxe5'], ['Qxd8+', 'Kxd8'], ['Nxe5', 'Bxe5'], ['Bxf7', 'e6'], ['Bg5+', 'Kd7'], ['Ra3', 'Rf8\n'], ['Rf3', 'Nc6'], ['Bxe6+', 'Ke8'], ['Bxc8', 'Rxc8'], ['Re3', 'Kd7'], ['c3', 'Rf5'], ['Bh4', 'Rh5'], ['Re4', 'Re8\n'], ['Kd2', 'Nxa5'], ['Kc2', 'Bd6'], ['Rxe8', 'Kxe8'], ['Re1+', 'Re5'], ['Rxe5+', 'Bxe5'], ['Nd2', 'Kd7\n'], ['Kd3', 'b5'], ['Ke4', 'Bg7'], ['f4', 'Nb7'], ['Bf2', 'a5'], ['g4', 'a4'], ['Bd4', 'Nd6+'], ['Kd3', 'Bf8\n'], ['c4', 'b4'], ['Bc5', 'Bg7'], ['Bxb4', 'Bxb2'], ['Nb1', 'Bc1'], ['Nc3', 'a3'], ['Na2', 'Bxf4'], ['h3', 'Nf7\n'], ['Bxa3', 'Ng5'], ['h4', 'Nf7'], ['Bb2', 'Be5'], ['Bd4', 'Bxd4'], ['Kxd4', 'Nh6'], ['g5', 'Nf5+'], ['Ke5', 'Nxh4\n'], ['Nc3', 'Nf3+'], ['Kf6', 'Nd2'], ['c5', 'Nf3'], ['Ne4', 'Kc6'], ['Kg7', 'Nh4'], ['Nf6', 'Kxc5'], ['Nxh7', 'Kd4\n'], ['Nf8', 'c5'], ['Nxg6', 'Nf3'], ['Kf6', 'Nxg5'], ['Kxg5', 'c4'], ['Nf4', 'c3'], ['Ne2+', 'Kd3'], ['Nxc3', '']]",1/2-1/2
7th Hainan Danzhou GM,Danzhou CHN,2016.07.15,7.5,Ding Liren,Yu Yangyi,,,D44,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'c6'], ['Bg5', 'dxc4'], ['e4', 'b5'], ['e5', 'h6'], ['Bh4', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Nbd7'], ['g3', 'Bb7'], ['Bg2', 'Qb6'], ['exf6', 'O-O-O'], ['O-O', 'c5'], ['d5', 'b4'], ['Na4', 'Qb5\n'], ['a3', 'Nb8'], ['axb4', 'cxb4'], ['Qg4', 'Bxd5'], ['Rfc1', 'Nc6'], ['Bxd5', 'Rxd5'], ['Rxc4', 'Rxg5\n'], ['Qd4', 'Kb8'], ['Rxc6', 'Rxg3+'], ['fxg3', 'Qxc6'], ['Rd1', 'Qc7'], ['b3', 'Kc8'], ['Qe4', 'Kb8'], ['Qd4', 'Kc8\n'], ['Qe4', 'Kb8'], ['Qd3', 'Bc5+'], ['Nxc5', 'Qxc5+'], ['Qd4', 'Qc3'], ['Qf4+', 'Ka8'], ['Qe4+', 'Kb8'], ['Rd4', 'Qc1+\n'], ['Kg2', 'Qb2+'], ['Kf3', 'Qc3+'], ['Kg4', 'Rg8+'], ['Kh4', 'Rh8+'], ['Kg5', 'Qc1+'], ['Qf4+', 'Qxf4+\n'], ['Kxf4', 'Rxh2'], ['Rxb4+', 'Kc7'], ['Kg5', 'Rh8'], ['g4', 'Rg8+'], ['Kf4', 'Rd8'], ['Ra4', 'Kb6'], ['Ra1', 'a5\n'], ['Rh1', 'Kc5'], ['Rh7', 'Rd7'], ['g5', 'Kd6'], ['Rh3', 'e5+'], ['Kf5', 'e4'], ['Kxe4', 'Ke6'], ['Rh8', 'Rb7\n'], ['Re8+', 'Kd6'], ['Kf5', 'Rb5+'], ['Kg4', 'Rb4+'], ['Kh5', 'Rxb3'], ['Re7', 'Rh3+'], ['Kg4', 'Rh7'], ['Ra7', 'Ke6\n'], ['Ra6+', 'Kd7'], ['g6', '']]",1-0
7th Hainan Danzhou GM,Danzhou CHN,2016.07.16,8.2,Wang Yue,Ding Liren,,,D11,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Bd3', 'Nbd7'], ['O-O', 'Bd6'], ['Nbd2', 'O-O'], ['e4', 'e5\n'], ['cxd5', 'cxd5'], ['Re1', 'Re8'], ['exd5', 'exd4'], ['Rxe8+', 'Qxe8'], ['Nc4', 'Bf8'], ['Bf4', 'Nc5'], ['d6', 'Bg4\n'], ['h3', 'Nxd3'], ['Qxd3', 'Bxf3'], ['Qxf3', 'Rc8'], ['Na5', 'b6'], ['Nb3', 'Qd7'], ['Rd1', 'Bxd6'], ['Rxd4', 'Ne8\n'], ['Bxd6', 'Nxd6'], ['Qd3', 'Rd8'], ['Nd2', 'Qc7'], ['Ne4', 'Nb7'], ['Rxd8+', 'Nxd8'], ['Qd5', 'h6'], ['g3', 'Ne6\n'], ['Kg2', 'Kf8'], ['Nc3', 'Qc8'], ['h4', 'Ke7'], ['Kf3', 'Qd7'], ['Qxd7+', 'Kxd7'], ['Ke4', 'Kc6'], ['Ke5', 'Nc5\n'], ['Kd4', 'Ne6+'], ['Ke5', 'Nc5'], ['Kd4', 'Ne6+']]",1/2-1/2
7th Hainan Danzhou GM,Danzhou CHN,2016.07.17,9.4,Ding Liren,"Leko,P",,,D38,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Bb4'], ['cxd5', 'exd5'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['e3', 'Bf5\n'], ['Qb3', 'Bxc3+'], ['bxc3', 'Nbd7'], ['Be2', 'c5'], ['O-O', 'c4'], ['Qb2', 'Qb6'], ['Qc1', 'Ne4'], ['Nd2', 'Qg6\n'], ['a4', 'Nxd2'], ['Qxd2', 'b6'], ['Bf3', 'Qe6'], ['Qb2', 'a6'], ['Qb4', 'Rfe8'], ['Bg3', 'Be4'], ['Bd1', 'Rac8\n'], ['Qd6', 'Qxd6'], ['Bxd6', 'Rc6'], ['Bg3', 'g5'], ['Bf3', 'Bxf3'], ['gxf3', 'f5'], ['Rab1', 'Rf6'], ['Bc7', 'Rc6\n'], ['Bg3', 'Kf7'], ['Rb2', 'Rf6'], ['Bc7', 'Rc6'], ['Bg3', 'f4'], ['exf4', 'gxf4'], ['Bxf4', 'Rf6'], ['Be3', 'Rxf3\n'], ['Kg2', 'Rf6'], ['Rg1', 'Rg8+'], ['Kf1', 'Rxg1+'], ['Kxg1', 'Kg6'], ['Kf1', 'Kf5'], ['f3', 'Rg6'], ['Bc1', 'h5\n'], ['Re2', 'Re6'], ['Rg2', 'Rg6'], ['Re2', 'Re6'], ['Rg2', 'Rg6']]",1/2-1/2
Ding vs Grischuk Match,Wenzhou CHN,2016.07.19,1,Ding Liren,"Grischuk,A",,,E60,"[['d4', 'Nf6'], ['c4', 'g6'], ['f3', 'c5'], ['d5', 'd6'], ['e4', 'Bg7'], ['Ne2', 'e6'], ['Nbc3', 'exd5'], ['cxd5', 'O-O\n'], ['Ng3', 'a6'], ['a4', 'Ne8'], ['Be2', 'h5'], ['Be3', 'h4'], ['Nf1', 'f5'], ['exf5', 'gxf5'], ['Qd2', 'Nd7\n'], ['Bg5', 'Bf6'], ['Bxf6', 'Qxf6'], ['f4', 'Ng7'], ['Ne3', 'Re8'], ['Rf1', 'Rb8'], ['Rf3', 'Qg6'], ['Rh3', 'Nf6\n'], ['Rxh4', 'Bd7'], ['Kf2', 'b5'], ['axb5', 'axb5'], ['Kg1', 'Re7'], ['Rh3', 'Ng4'], ['Ra7', 'b4'], ['Ncd1', 'Rbe8\n'], ['Rf3', 'Nh5'], ['Rxd7', 'Rxd7'], ['Bb5', 'Rde7'], ['Bxe8', 'Rxe8'], ['h3', 'Ngf6'], ['Nf2', 'Ng3'], ['Qd1', 'Kh8\n'], ['Kh2', 'Rg8'], ['b3', 'Nge4'], ['Qe1', 'Nxd5'], ['g4', 'Nxe3'], ['Rxe3', 'd5'], ['Nd3', 'fxg4'], ['hxg4', 'Qxg4\n'], ['Rh3+', 'Kg7'], ['Rh4', 'Qxh4+'], ['Qxh4', 'Rh8'], ['Qxh8+', 'Kxh8'], ['Kh3', 'Kg7'], ['Kg4', 'Kf6\n'], ['f5', 'Ke7'], ['Kh5', 'Kf7'], ['Kg4', 'Nf6+'], ['Kg5', 'Nd7'], ['f6', 'Ke6'], ['Kg6', 'c4'], ['bxc4', 'dxc4\n'], ['Nxb4', 'Nxf6'], ['Kg5', 'Nd5'], ['Nc6', 'c3'], ['Kg4', 'Kd6'], ['Na5', 'Kc5'], ['Kf3', 'Kb5'], ['Nb3', 'Kc4\n'], ['Nc1', 'c2'], ['Ke4', 'Nb4'], ['Ne2', 'Nc6'], ['Ke3', 'Kb3'], ['Nc1+', 'Kc3'], ['Ne2+', 'Kb2'], ['Kd3', 'Nb4+\n'], ['Kd4', 'Na2'], ['Nf4', 'Kb1'], ['Ne2', 'Nc1'], ['Nc3+', 'Ka1'], ['Kc4', 'Na2'], ['Ne2', 'Kb2'], ['Kd4', 'Nc1\n'], ['Nf4', 'Nb3+'], ['Kd5', 'Kc3'], ['Ke4', 'Nc5+'], ['Kf3', 'Kd2'], ['Ne2', 'Ne6'], ['Kf2', 'Kd3'], ['Nc1+', 'Kc3\n'], ['Ke3', 'Kb2'], ['Ne2', 'Nc7'], ['Ke4', 'Nb5'], ['Nf4', 'Ka1'], ['Nd3', 'Kb1'], ['Ke3', 'Nc3'], ['Kd2', 'Ne4+']]",0-1
Ding vs Grischuk Match,Wenzhou CHN,2016.07.20,2,"Grischuk,A",Ding Liren,,,D11,"[['c4', 'c6'], ['d4', 'd5'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Bd3', 'Nbd7'], ['b3', 'Bd6'], ['Bb2', 'b6'], ['Nbd2', 'Bb7\n'], ['O-O', 'O-O'], ['Qe2', 'c5'], ['Rad1', 'cxd4'], ['Nxd4', 'Nc5'], ['Bb1', 'Re8'], ['cxd5', 'exd5'], ['Nf5', 'Ba6\n'], ['Nc4', 'Be5'], ['Bxe5', 'Rxe5'], ['Qb2', 'Re6'], ['Rfe1', 'Qf8'], ['Ne5', 'g6'], ['Ng3', 'Nce4'], ['Nxe4', 'dxe4\n'], ['Nd7', 'Nxd7'], ['Rxd7', 'Bb5'], ['Rd4', 'Bc6'], ['Red1', 'Qg7'], ['Qd2', 'Qe5'], ['h3', 'Kg7'], ['b4', 'a5\n'], ['Bc2', 'axb4'], ['Bb3', 'Rf6'], ['Qxb4', 'Qa5'], ['Qe7', 'Qa7'], ['Qe5', 'Re8'], ['Qg3', 'Qe7'], ['Rd6', 'Rc8\n'], ['Rxf6', 'Qxf6'], ['Rd6', 'Qe7'], ['h4', 'b5'], ['h5', 'Be8'], ['h6+', 'Kf8'], ['Rd1', 'Rc5'], ['Qb8', 'Qc7\n'], ['Qa8', 'Rh5'], ['Rd8', 'Qh2+'], ['Kf1', 'Qe5'], ['g3', 'Rxh6'], ['Kg2', 'g5'], ['Qc8', 'Qe7'], ['a4', 'Rc6\n'], ['Qxc6', 'Qxd8'], ['Qh6+', 'Kg8'], ['a5', 'Qxa5'], ['Qxg5+', 'Kf8'], ['Qc5+', 'Kg8'], ['Qg5+', 'Kf8\n'], ['Qc5+', 'Kg8'], ['Qe7', 'Qa8'], ['Qg5+', 'Kf8'], ['Qc5+', 'Kg8'], ['Qg5+', '']]",1/2-1/2
Ding vs Grischuk Match,Wenzhou CHN,2016.07.21,3,Ding Liren,"Grischuk,A",,,E62,"[['d4', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['Nc3', 'd6'], ['Nf3', 'Nc6'], ['O-O', 'e5'], ['d5', 'Nb8\n'], ['e4', 'a5'], ['Rb1', 'Na6'], ['Re1', 'Nc5'], ['b3', 'Bd7'], ['a3', 'a4'], ['b4', 'Nb3'], ['Bb2', 'Bh6'], ['Na2', 'Nh5\n'], ['Nc1', 'f5'], ['Nxb3', 'axb3'], ['Bc1', 'f4'], ['c5', 'Qf6'], ['c6', 'bxc6'], ['dxc6', 'Bxc6'], ['Rxb3', 'Ba4\n'], ['Qd5+', 'Kh8'], ['Rc3', 'c6'], ['Qd2', 'Rad8'], ['Bb2', 'Qe6'], ['Rd3', 'Bb5'], ['Bxe5+', 'Kg8'], ['Rxd6', 'fxg3\n'], ['Bh3', 'Qf7'], ['Qc3', 'Rxd6'], ['Bxd6', 'Bg7'], ['Qe3', 'gxf2+'], ['Qxf2', 'Qxf3'], ['Be6+', 'Kh8\n'], ['Bxf8', 'Qxf8'], ['Qxf8+', 'Bxf8'], ['Rd1', 'Nf4'], ['Bb3', 'Be7'], ['Rd7', 'Bf6'], ['a4', 'Bd4+'], ['Rxd4', 'Ne2+\n'], ['Kf2', 'Nxd4'], ['axb5', 'cxb5'], ['Bd1', 'Kg7'], ['Ke3', 'Nc6'], ['Be2', 'Nxb4'], ['Bxb5', 'Kf6'], ['Kf4', 'g5+\n'], ['Kg4', 'Nc2'], ['e5+', 'Kxe5'], ['Kxg5', 'Nd4'], ['Bd3', 'Nf3+'], ['Kh6', 'Nxh2'], ['Bxh7', '']]",1/2-1/2
Ding vs Grischuk Match,Wenzhou CHN,2016.07.22,4,"Grischuk,A",Ding Liren,,,B10,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Nf6'], ['e5', 'Ne4'], ['Ne2', 'Qb6'], ['d4', 'e6'], ['Nfg1', 'f6'], ['f3', 'Ng5\n'], ['exf6', 'gxf6'], ['f4', 'Nf7'], ['Nf3', 'Be7'], ['c4', 'dxc4'], ['Nc3', 'Nd6'], ['b3', 'cxb3'], ['axb3', 'O-O\n'], ['Bd3', 'Rf7'], ['O-O', 'Nb5'], ['Ne2', 'c5'], ['f5', 'e5'], ['Bxb5', 'Qxb5'], ['dxe5', 'Bxf5'], ['Bb2', 'Nc6\n'], ['exf6', 'Bxf6'], ['Bxf6', 'Rxf6'], ['Nh4', 'Rd8'], ['Qe1', 'Rdf8'], ['Nxf5', 'Rxf5'], ['Qg3+', 'Kh8\n'], ['Qc3+', 'Kg8'], ['Qg3+', 'Kh8'], ['Qc3+', 'Kg8']]",1/2-1/2
TCh-CHN 2016,China CHN,2016.07.24,9.3,Ding Liren,"Zhao,Chenxi",,,E90,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['h3', 'c6'], ['Bg5', 'a6'], ['Bd3', 'b5'], ['O-O', 'b4\n'], ['Na4', 'Nfd7'], ['c5', 'dxc5'], ['dxc5', 'a5'], ['Qe2', 'h6'], ['Bh4', 'Ne5'], ['Nxe5', 'Bxe5'], ['Nb6', 'Ra7\n'], ['Rad1', 'Qc7'], ['Bc4', 'e6'], ['Rd3', 'Nd7'], ['Nxd7', 'Bxd7'], ['Rfd1', 'Bc8'], ['Bd8', 'Qb8'], ['Bb6', 'Ra8\n'], ['Rd8', 'Bf6'], ['Rxf8+', 'Kxf8'], ['Rd6', 'Be7'], ['Qe3', 'Bxd6'], ['cxd6', 'Kg8'], ['Bc5', 'Bd7'], ['Qxh6', 'Qf8\n'], ['Qg5', 'Qg7'], ['e5', 'a4'], ['Bxb4', 'Rb8'], ['Bc3', 'c5'], ['Qe7', 'a3'], ['Qxd7', 'axb2'], ['Bxb2', 'Rxb2\n'], ['Qc8+', 'Kh7'], ['Qxc5', 'Qh6'], ['Qe3', 'Qh4'], ['g4', 'Qd8'], ['Qa7', 'Kg8'], ['a4', 'Rb1+'], ['Kh2', 'Qg5\n'], ['Qe3', 'Qd8'], ['Bb5', 'Qa8'], ['d7', 'Qd5'], ['Bc6', 'Qd1'], ['Kg3', 'Kg7'], ['Qf4', 'Rb3+'], ['Kh4', 'Rd3\n'], ['Kg5', 'Kg8'], ['Qf6', 'Qc1+'], ['f4', 'Qd2'], ['h4', 'Rd4'], ['Kh6', '']]",1-0
TCh-CHN 2016,China CHN,2016.07.25,10.5,Wang Chen,Ding Liren,,,B51,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Nd7'], ['O-O', 'a6'], ['Bxd7+', 'Bxd7'], ['Re1', 'Bg4'], ['h3', 'Bh5'], ['d3', 'e6\n'], ['Nbd2', 'Ne7'], ['b3', 'Nc6'], ['Bb2', 'f6'], ['Qe2', 'Be7'], ['Qe3', 'e5'], ['c3', 'd5'], ['d4', 'cxd4'], ['cxd4', 'Nb4\n'], ['Rac1', 'Nxa2'], ['dxe5', 'Nxc1'], ['exf6', 'gxf6'], ['Rxc1', 'dxe4'], ['Nd4', 'Rc8'], ['Re1', 'Bg6\n'], ['Nxe4', 'Kf7'], ['Qf3', 'Qd5'], ['Ng5+', 'Qxg5'], ['Rxe7+', 'Kxe7'], ['Qxb7+', 'Kd6'], ['Ba3+', 'Rc5\n'], ['Qc6+', '']]",1-0
4th Sinquefield Cup 2016,Saint Louis USA,2016.08.05,1.4,Ding Liren,"Aronian,L",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['e3', 'O-O'], ['Rc1', 'c5\n'], ['dxc5', 'dxc4'], ['Bxc4', 'Nxc5'], ['O-O', 'a6'], ['Nd4', 'Nce4'], ['Nxe4', 'Nxe4'], ['Bxe7', 'Qxe7\n'], ['Qc2', 'Nf6'], ['Bb3', 'Rb8'], ['e4', 'Rd8'], ['Rfd1', 'e5'], ['Nf5', 'Bxf5'], ['exf5', 'Rxd1+'], ['Rxd1', 'e4\n'], ['Qc3', 'Rd8'], ['Rxd8+', 'Qxd8'], ['h3', 'h5'], ['Qe5', 'b5'], ['g3', 'Qd7'], ['g4', 'hxg4'], ['hxg4', 'Nxg4\n'], ['Qxe4', 'Nf6'], ['Qa8+', 'Kh7'], ['Qh1+', '']]",1/2-1/2
4th Sinquefield Cup 2016,Saint Louis USA,2016.08.06,2.2,Ding Liren,"So,W",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['e3', 'O-O'], ['Be2', 'dxc4\n'], ['Bxc4', 'c5'], ['O-O', 'cxd4'], ['Nxd4', 'Nb6'], ['Bb3', 'Nbd5'], ['Nxd5', 'Nxd5'], ['Bg3', 'Bf6'], ['Rc1', 'Nb6\n'], ['Qe2', 'Bd7'], ['Nb5', 'a6'], ['Nd6', 'Bc6'], ['Nxb7', 'Bxb7'], ['Bc7', 'Qe7'], ['Bxb6', 'Bxg2'], ['Kxg2', 'Qb7+\n'], ['Qf3', 'Qxb6'], ['Rc6', 'Qb7'], ['Rc2', 'Qxf3+'], ['Kxf3', 'Rfc8'], ['Rfc1', 'Rxc2'], ['Rxc2', 'Rb8\n'], ['Rc6', 'a5'], ['Rc5', 'Ra8'], ['Rb5', 'Ra7'], ['Bc2', 'Kf8'], ['a4', 'Ke7'], ['b4', 'Bc3'], ['bxa5', 'Rxa5']]",1/2-1/2
4th Sinquefield Cup 2016,Saint Louis USA,2016.08.07,3.5,"Giri,A",Ding Liren,,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['d3', 'b5'], ['Bb3', 'd6'], ['a3', 'Na5\n'], ['Ba2', 'c5'], ['Nc3', 'Be6'], ['Nh4', 'O-O'], ['Nf5', 'Rc8'], ['Bg5', 'Bxf5'], ['exf5', 'Ne8'], ['Be3', 'Bg5\n'], ['Bd5', 'Bxe3'], ['fxe3', 'Nf6'], ['Qf3', 'Re8'], ['b3', 'h6'], ['Be4', 'c4'], ['dxc4', 'Nxc4'], ['bxc4', 'Rxc4\n'], ['Bc6', 'Rxc3'], ['Bxe8', 'Qxe8'], ['Qb7', 'Ng4'], ['f6', 'Nxf6'], ['Qxa6', 'Qd7'], ['Rab1', 'Rc5'], ['a4', 'bxa4\n'], ['Rb8+', 'Kh7'], ['Rxf6', 'gxf6'], ['Qa8', 'Qc6'], ['Rh8+', 'Kg6'], ['Qg8+', 'Kf5'], ['Qxf7', 'Rxc2\n'], ['Qh7+', 'Ke6'], ['Qg8+', 'Kf5'], ['Qh7+', 'Ke6']]",1/2-1/2
