URS-ch sf,Leningrad,1954.??.??,?,"Chekhover, Vitaly","Gurevich, Dmitry",,,D32,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c5'], ['cxd5', 'cxd4'], ['Qa4+', 'Bd7'], ['Qxd4', 'exd5'], ['Qxd5', 'Nc6'], ['a3', 'Nf6\n'], ['Qd1', 'Bc5'], ['e3', 'Qe7'], ['Nf3', 'O-O-O'], ['Qc2', 'g5'], ['Be2', 'g4'], ['Nd2', 'Kb8'], ['O-O', 'Bb6\n'], ['Rd1', 'Ne5'], ['Nf1', 'h5'], ['e4', 'Rdg8'], ['Be3', 'Bc7'], ['Rac1', 'h4'], ['Nd5', 'Nxd5'], ['exd5', 'Bd6\n'], ['Qc3', 'Bc8'], ['Qa5', 'b6'], ['Bxb6', 'axb6'], ['Rxc8+', 'Rxc8'], ['Qxb6+', 'Ka8'], ['Qa6+', 'Kb8\n'], ['Qb6+', 'Ka8']]",1/2-1/2
Chicago op,Chicago,1995.??.??,1,"Gurevich, Dmitry","Popovych, Orest",,,E94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'Nbd7'], ['O-O', 'e5'], ['Be3', 'c6\n'], ['d5', 'Ng4'], ['Bg5', 'f6'], ['Bd2', 'Qe7'], ['Qc2', 'Nh6'], ['b4', 'Nf7'], ['Rab1', 'Bh6'], ['dxc6', 'bxc6\n'], ['b5', 'Bb7'], ['Bxh6', 'Nxh6'], ['Qd2', 'Kg7'], ['Rfd1', 'Nf7'], ['bxc6', 'Bxc6'], ['Nd5', 'Bxd5'], ['Qxd5', 'Nb6\n'], ['Qa5', 'Rac8'], ['Qa6', 'Rc6'], ['Nd2', 'Rfc8'], ['a4', 'R8c7'], ['Qb5', 'Nd8'], ['a5', 'Nd7'], ['Nf1', 'Rc5\n'], ['Qb3', 'Rxa5'], ['Qg3', 'Kh8'], ['Ne3', 'Nb6'], ['h4', 'Ne6'], ['h5', 'Nd4'], ['Bf1', 'Qg7'], ['Nd5', 'Rb7\n'], ['Rxd4', 'exd4'], ['Qxd6', 'Rf7'], ['c5', 'Nd7'], ['c6', 'Nb6'], ['c7', '']]",1-0
Chicago op,Chicago,1995.??.??,2,"Chow, Albert","Gurevich, Dmitry",,,B53,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Qxd4', 'a6'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['Be2', 'Be7'], ['O-O', 'O-O\n'], ['b3', 'Qa5'], ['Bb2', 'Nc6'], ['Qd2', 'Rb8'], ['a3', 'Qc7'], ['Rac1', 'Na5'], ['Qd1', 'Bd7'], ['Nd2', 'Rfc8\n'], ['b4', 'Nc6'], ['Nd5', 'exd5'], ['cxd5', 'a5'], ['b5', 'Qd8'], ['bxc6', 'bxc6'], ['Bxf6', 'Bxf6'], ['Nc4', 'Be8\n'], ['Bg4', 'Rc7'], ['g3', 'g6'], ['Qd2', 'h5'], ['Be2', 'a4'], ['Rb1', 'Rb3'], ['Rxb3', 'axb3'], ['Rb1', 'cxd5\n'], ['Qxd5', 'b2'], ['e5', 'Bxe5'], ['Nxb2', 'Bxb2'], ['Rxb2', 'Rc1+'], ['Bd1', 'Bc6'], ['Qd4', 'Qf6'], ['Rb8+', 'Kh7\n'], ['Rb4', '']]",0-1
Mid-America Class op,Chicago,1995.??.??,2,"Karklins, Andrew","Gurevich, Dmitry",,,B53,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Qxd4', 'a6'], ['b4', 'Nc6'], ['Qb2', 'Nf6'], ['Bd3', 'g6'], ['Bd2', 'Bg7\n'], ['Bc3', 'O-O'], ['O-O', 'e5'], ['Nbd2', 'd5'], ['Qb3', 'Nd4'], ['Nxd4', 'exd4'], ['Bb2', 'dxe4'], ['Nxe4', 'Be6\n'], ['Qa3', 'Bd5'], ['Rfe1', 'Re8'], ['Nxf6+', 'Qxf6'], ['Bf1', 'Qc6'], ['Red1', 'Be4'], ['Bxd4', 'Bxc2\n'], ['Rac1', 'Rad8'], ['Rd2', 'Rxd4'], ['Rdxc2', 'Qd6'], ['Rc8', 'Rxc8'], ['Rxc8+', 'Bf8'], ['g3', 'Rxb4\n'], ['Qf3', 'Kg7'], ['Bc4', 'Qf6'], ['Qxf6+', 'Kxf6'], ['Bd5', 'Bd6'], ['Rd8', 'Ke7'], ['Rh8', 'Rb5'], ['Bb3', 'h5\n'], ['Rh7', 'Rf5'], ['Kg2', 'Be5'], ['Bc2', 'Rf6'], ['f4', 'Bd4'], ['Kf3', 'b5'], ['h4', 'a5'], ['f5', 'Be5'], ['Kg2', 'Rd6\n'], ['Bb3', 'Rd3'], ['Bxf7', 'Rxg3+'], ['Kf2', 'gxf5'], ['Bc4+', 'Kf6'], ['Bxb5', 'f4'], ['Rxh5', 'Rc3'], ['a4', 'Bd4+\n'], ['Ke2', 'f3+'], ['Kd2', 'Ra3'], ['Rd5', 'Be3+'], ['Kc2', 'Ra1'], ['Kd3', 'Re1'], ['Ke4', 'f2'], ['Rf5+', 'Ke6\n'], ['Bc4+', 'Kd6'], ['Rd5+', 'Kc6'], ['Bb5+', 'Kb6'], ['Rf5', 'Bg5+'], ['Kd5', 'Bxh4'], ['Rf7', 'Rc1'], ['Rf4', 'Rc5+\n'], ['Kd4', 'Rc1'], ['Rxh4', 'Rb1'], ['Rh6+', 'Kc7'], ['Rf6', 'Rb2'], ['Ke3', 'Rb3+'], ['Kxf2', '']]",1-0
Chicago op,Chicago,1995.??.??,3,"Gurevich, Dmitry","Brooks, Michael A",,,E94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'exd4'], ['Nxd4', 'Nc6\n'], ['Be3', 'Re8'], ['f3', 'Nh5'], ['Re1', 'f5'], ['c5', 'Nxd4'], ['Bxd4', 'dxc5'], ['Bc4+', 'Be6'], ['Bxe6+', 'Rxe6\n'], ['Bxc5', 'Qxd1'], ['Raxd1', 'fxe4'], ['Nxe4', 'Rae8'], ['Rd7', 'Nf6'], ['Rxc7', 'Nxe4'], ['fxe4', 'b6\n'], ['Bf2', 'a6'], ['Rc2', 'Rxe4'], ['Rxe4', 'Rxe4'], ['Bxb6', 'Rb4'], ['Rc8+', 'Kf7'], ['Rc7+', 'Kg8'], ['Bc5', 'Rc4\n'], ['b4', 'Rc2'], ['a3', 'Ra2'], ['Ra7', 'Rxa3'], ['Kf2', 'Be5'], ['h3', 'Bc3'], ['Ke2', 'Ra4'], ['Rb7', 'Ra2+\n'], ['Kd3', 'Be1'], ['Re7', 'Rd2+'], ['Kc4', 'Bh4'], ['Re4', 'Bf6'], ['Re6', 'Kf7'], ['Rxa6', 'Rxg2'], ['Ra7+', 'Kg8\n'], ['b5', 'Be5'], ['b6', 'h5'], ['Re7', 'Bh2'], ['Bd4', 'Kf8'], ['Re6', 'Kf7'], ['Kd5', 'Rg5+'], ['Be5', 'Rg1\n'], ['Bxh2', 'Rd1+'], ['Ke4', 'Re1+'], ['Kf3', 'Kxe6'], ['b7', 'Rf1+'], ['Ke2', 'Rb1'], ['b8=Q', 'Rxb8'], ['Bxb8', 'Kf5\n'], ['Kf3', 'g5'], ['Ke3', '']]",1-0
Mid-America Class op,Chicago,1995.??.??,4,"Gurevich, Dmitry","Chudnovsky, Jacob",,,D94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['e3', 'O-O'], ['Bd2', 'e6'], ['Rc1', 'b6'], ['cxd5', 'exd5\n'], ['b4', 'Bb7'], ['Bd3', 'Ne4'], ['O-O', 'Nd7'], ['b5', 'Ndf6'], ['Ne5', 'a6'], ['a4', 'axb5'], ['axb5', 'Nd7\n'], ['Nf3', 'Ra3'], ['Qc2', 'Nxd2'], ['Nxd2', 'c5'], ['bxc6', 'Bxc6'], ['Qb2', 'Ra8'], ['Bb5', 'Bxb5'], ['Qxb5', 'Nf6\n'], ['Rb1', 'Rc8'], ['Rfc1', 'Qd6'], ['Qxb6', 'Rc6'], ['Qb2', 'Rfc8'], ['Ne2', 'Qe6'], ['Rxc6', 'Rxc6'], ['Rc1', 'h6\n'], ['Rxc6', 'Qxc6'], ['g3', 'Bf8'], ['Nf4', 'Bd6'], ['Nd3', 'Qa6'], ['Qc2', 'Kg7'], ['Kg2', 'Qb5'], ['h3', 'h5\n'], ['Nf3', 'Ne4'], ['Nfe5', 'f6'], ['Qc6', 'Qxc6'], ['Nxc6', 'Kf7'], ['Na7', 'Ke6'], ['Nb5', 'Bb8'], ['f3', 'Nxg3\n'], ['Nc5+', 'Ke7'], ['Na6', '']]",1-0
Chicago op,Chicago,1995.??.??,4,"Shabalov, Alexander","Gurevich, Dmitry",,,E29,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'O-O'], ['Bd3', 'Nc6'], ['Ne2', 'b6\n'], ['e4', 'Ne8'], ['Be3', 'Ba6'], ['Ng3', 'Na5'], ['Qe2', 'Rc8'], ['d5', 'f6'], ['Rd1', 'Qe7'], ['O-O', 'Nd6\n'], ['dxe6', 'Qxe6'], ['Bf4', 'Nf7'], ['e5', 'Nxe5'], ['Bxe5', 'fxe5'], ['Ne4', 'Bxc4'], ['Bxc4', 'Qxc4\n'], ['Qc2', 'Qe6'], ['Rd6', 'Qf5'], ['Rfd1', 'Rf7'], ['Qe2', 'Rcf8'], ['f3', 'h6'], ['Ng3', 'Qf4'], ['Rxd7', 'Nc4\n'], ['Ne4', 'Qe3+'], ['Qxe3', 'Nxe3'], ['Rxf7', 'Rxf7'], ['Rd8+', 'Kh7'], ['Kf2', 'Ng4+'], ['Ke2', 'Nf6\n'], ['Nd6', 'Rd7'], ['Rxd7', 'Nxd7'], ['Ke3', 'Nf6'], ['c4', 'Kg6'], ['Nc8', 'Kf5'], ['Nxa7', 'Ke6'], ['Nc8', 'Nd7\n'], ['h4', 'h5'], ['g4', 'g5'], ['hxg5', 'h4'], ['f4', 'exf4+'], ['Kxf4', 'Kf7'], ['Nd6+', 'Ke6'], ['Nf5', 'Ne5\n'], ['Ne3', 'Ng6+'], ['Kf3', 'Ke5'], ['Nf5', 'Ke6'], ['Kg2', 'Nf4+'], ['Kh2', 'h3'], ['Kg3', 'Ke5'], ['Nh4', 'Ne6\n'], ['Nf3+', 'Ke4'], ['g6', 'h2'], ['Nxh2', 'Kd3'], ['Nf3', 'Kxc4']]",*
Mid-America Class op,Chicago,1995.??.??,5,"Ivanov, Igor V","Gurevich, Dmitry",,,A58,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'g6'], ['Nc3', 'Bxa6'], ['g3', 'd6'], ['Nf3', 'Bg7\n'], ['Bh3', 'O-O'], ['O-O', 'Nbd7'], ['Qc2', 'Nb6'], ['Rd1', 'Ra7'], ['Rb1', 'Bc4'], ['e4', 'Bxa2'], ['Nxa2', 'Rxa2\n'], ['e5', 'Nfxd5'], ['Bg2', 'Qd7'], ['exd6', 'exd6'], ['Qb3', 'Qa4'], ['Qxa4', 'Rxa4'], ['Ne1', 'Rd4'], ['Rxd4', 'Bxd4\n'], ['Bh6', 'Rd8'], ['Nc2', 'Bg7'], ['Bg5', 'Bf6'], ['Bxd5', 'Bxg5'], ['Rd1', 'Bf6'], ['b3', 'Kf8'], ['Na3', 'Nxd5\n'], ['Rxd5', 'Ke7'], ['Rd3', 'd5'], ['Nc2', 'Bb2'], ['Kf1', 'd4'], ['Ke2', 'Rb8']]",0-1
Chicago op,Chicago,1995.??.??,7,"Gurevich, Dmitry","Yermolinsky, Alex",,,E00,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Nd2', 'O-O'], ['Bg2', 'd6'], ['Nf3', 'Nc6'], ['O-O', 'e5'], ['Nb3', 'exd4\n'], ['Nbxd4', 'Nxd4'], ['Qxd4', 'Nd7'], ['Bd2', 'a5'], ['Bxb4', 'axb4'], ['Rfd1', 'Qe7'], ['Qd2', 'Nb6'], ['Qxb4', 'Ra4\n'], ['Qc3', 'Rxc4'], ['Qd3', 'Ra4'], ['Nd4', 'd5'], ['b3', 'Ra6'], ['a4', 'c6'], ['e4', 'dxe4'], ['Bxe4', 'g6\n'], ['Rac1', 'Nd7'], ['Bg2', 'Qf6'], ['Qc3', 'Ra8'], ['h3', 'h5'], ['Qd2', 'Re8'], ['Re1', 'Rd8'], ['Nxc6', 'bxc6\n'], ['Rxc6', 'Qg7'], ['Re7', 'Qf8'], ['Qg5', '']]",1-0
Geneve op,Geneve,1995.??.??,1,"Allegro, Valery","Gurevich, Dmitry",,,A06,"[['b3', 'd5'], ['Bb2', 'c5'], ['e3', 'a6'], ['Nf3', 'Nc6'], ['Be2', 'd4'], ['O-O', 'g6'], ['b4', 'Nxb4'], ['exd4', 'cxd4\n'], ['Nxd4', 'Nf6'], ['Bf3', 'Bg7'], ['a3', 'Nbd5'], ['Nb3', 'O-O'], ['Nc3', 'Nb6'], ['Qe2', 'Qc7'], ['Rfe1', 'Re8\n'], ['Rab1', 'h5'], ['h3', 'Nc4'], ['Bc1', 'Rb8'], ['a4', 'Bd7'], ['d4', 'e5'], ['d5', 'Nd6'], ['Qd2', 'Rbc8\n'], ['Ne4', 'Nfxe4'], ['Bxe4', 'Bxa4'], ['Na5', 'b6'], ['Nc6', 'Bxc6'], ['dxc6', 'Nxe4'], ['Rxe4', 'Qxc6\n'], ['Reb4', 'b5']]",0-1
Geneve op,Geneve,1995.??.??,2,"Gurevich, Dmitry","Touzane, Olivier",,,E90,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['h3', 'c6'], ['Bg5', 'e5'], ['d5', 'Na6'], ['Be2', 'Qb6\n'], ['a3', 'Nc5'], ['Qc2', 'a5'], ['Be3', 'Bd7'], ['Nd2', 'Rfc8'], ['Na4', 'Qd8'], ['Nxc5', 'dxc5'], ['a4', 'Ne8\n'], ['O-O', 'Nd6'], ['Bxc5', 'Bf8'], ['dxc6', 'Bxc6'], ['Be3', 'Qh4'], ['f3', 'Bh6'], ['Bxh6', 'Qxh6'], ['Qc3', 'Ne8\n'], ['Rfd1', 'Qg5'], ['c5', 'Ng7'], ['Nc4', 'Re8'], ['Qd2', 'Qe7'], ['Nd6', 'Rf8'], ['Bc4', 'Nh5'], ['Qf2', 'Nf4\n'], ['Kh2', 'Kh8'], ['b3', 'h6'], ['Ra2', 'Kh7'], ['Rad2', 'Rad8'], ['g3', 'Nh5'], ['Qe3', 'Ra8'], ['Bd5', 'Ra6\n'], ['Nc4', 'Rd8'], ['Nb6', 'Ra7'], ['Bxc6', 'Rxd2+'], ['Rxd2', 'bxc6'], ['Nc8', 'Qb7'], ['Nxa7', 'Qxa7\n'], ['Rd6', 'Qb7'], ['Qc3', 'Ng7'], ['Rd3', 'Ne6']]",1-0
Geneve op,Geneve,1995.??.??,3,"Zelcic, Robert","Gurevich, Dmitry",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Be2', 'g6'], ['O-O', 'Bg7'], ['Nb3', 'O-O\n'], ['Bg5', 'a6'], ['f4', 'b5'], ['Bf3', 'Bd7'], ['Kh1', 'h6'], ['Bh4', 'b4'], ['Nd5', 'Nh7'], ['Rb1', 'g5'], ['Bg3', 'a5\n'], ['c3', 'Rb8'], ['Qd2', 'f5'], ['exf5', 'Bxf5'], ['Rbe1', 'bxc3'], ['Nxc3', 'Bd7'], ['Be4', 'a4'], ['Nxa4', 'Nf6\n'], ['Bb1', 'Na5'], ['Nxa5', 'Bxa4'], ['fxg5', 'hxg5'], ['b3', 'Bd7'], ['Nc4', 'Rb5'], ['Ne3', 'Qa8'], ['a4', 'Rxb3\n'], ['Ba2', 'Bxa4'], ['Nf5', 'Nd5'], ['Qxd5+', 'Qxd5'], ['Nxe7+', 'Kh7'], ['Nxd5', 'Rxf1+'], ['Rxf1', 'Rb2\n'], ['Bb1+', 'Kh6'], ['Ne7', 'Bc3'], ['Nf5+', 'Kh5'], ['Bxd6', 'Bc6'], ['Be4', 'Bb5'], ['Ng3+', '']]",1-0
Geneve op,Geneve,1995.??.??,4,"Gurevich, Dmitry","Weindl, Alfred",,,E90,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['h3', 'e5'], ['d5', 'Na6'], ['Bg5', 'Qe8'], ['g4', 'Kh8\n'], ['Be2', 'Ng8'], ['Nd2', 'f6'], ['Be3', 'f5'], ['gxf5', 'gxf5'], ['Bh5', 'Qe7'], ['exf5', 'Bh6'], ['Nde4', 'Bxe3\n'], ['fxe3', 'Qh4+'], ['Kd2', 'Bxf5'], ['Bg4', 'Bxe4'], ['Nxe4', 'Nf6'], ['Nc3', 'Nc5'], ['Qc2', 'Nxg4'], ['hxg4', 'Rf2+\n'], ['Ne2', 'Rxe2+'], ['Kxe2', 'Qxg4+'], ['Kd2', 'Qg2+'], ['Kc3', 'Ne4+'], ['Kb3', 'Nc5+']]",1/2-1/2
Geneve op,Geneve,1995.??.??,5,"Peric, Slavisa","Gurevich, Dmitry",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['Bg5', 'c5'], ['c3', 'Be7'], ['e3', 'b6'], ['Nbd2', 'Bb7'], ['Be2', 'O-O'], ['O-O', 'd6\n'], ['a4', 'cxd4'], ['cxd4', 'Nc6'], ['Ne1', 'Rc8'], ['Nd3', 'h6'], ['Bxf6', 'Bxf6'], ['b4', 'Rc7'], ['Rc1', 'Be7\n'], ['Qc2', 'Nxd4'], ['Qxc7', 'Nxe2+'], ['Kh1', 'Qa8'], ['f3', 'Nxc1'], ['Rxc1', 'Bg5'], ['Nf1', 'Rc8'], ['Qd7', 'Rxc1\n'], ['Nxc1', 'Bxf3']]",0-1
Geneve op,Geneve,1995.??.??,6,"Janjgava, Lasha","Gurevich, Dmitry",,,A30,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'g6'], ['O-O', 'Bg7'], ['d4', 'cxd4'], ['Qxd4', 'd6\n'], ['Rd1', 'Nbd7'], ['b3', 'Rc8'], ['Bb2', 'a6'], ['Qe3', 'O-O'], ['Nd4', 'Bxg2'], ['Kxg2', 'Rc5'], ['f3', 'Qb8\n'], ['a3', 'Re8'], ['Qd2', 'Qb7'], ['Nc2', '']]",1/2-1/2
Geneve op,Geneve,1995.??.??,8,"Tukmakov, Vladimir B","Gurevich, Dmitry",,,B74,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Be2', 'g6'], ['Nb3', 'Bg7'], ['O-O', 'a6\n'], ['a4', 'O-O'], ['Be3', 'Be6'], ['f4', 'Rc8'], ['Kh1', 'Bxb3'], ['cxb3', 'Qa5'], ['g4', 'Nd7'], ['e5', 'Nb6\n'], ['exd6', 'Rfd8'], ['Ne4', 'exd6'], ['Bd2', 'Qd5'], ['Bf3', 'Qe6'], ['f5', 'gxf5'], ['gxf5', 'Qxf5'], ['Bg5', 'd5\n'], ['Bxd8', 'Rxd8'], ['Ng3', 'Qe5'], ['Bh5', 'Rf8'], ['Qg4', 'Qd4'], ['Qg5', 'h6'], ['Qf5', 'Ne5'], ['Rf4', 'Qxb2\n'], ['Rg1', 'Nc8'], ['Rf2', 'Qxb3'], ['Ne2', 'Ng6'], ['Bxg6', 'Nd6'], ['Bh7+', 'Kh8'], ['Qg4', 'Be5'], ['Bb1', 'Qe3\n'], ['Qf3', 'Qc5'], ['Qh3', 'Bg7'], ['Rfg2', 'Ne4'], ['Bxe4', 'dxe4'], ['Rxg7', '']]",1-0
Geneve op,Geneve,1995.??.??,9,"Gurevich, Dmitry","Gheorghiu, Florin",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['e4', 'd6'], ['f4', 'exf4'], ['Bxf4', 'Ne7'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['Nd2', 'Ng6\n'], ['Bg3', 'Be7'], ['Ngf3', 'O-O'], ['O-O', 'f5'], ['exf5', 'Rxf5'], ['Nc4', 'Na6'], ['c3', 'Nc7'], ['Qb3', 'b6\n'], ['Nfe5', 'Rxf1+'], ['Rxf1', 'Nxe5'], ['Nxe5', 'dxe5'], ['d6+', 'Qe6'], ['dxe7', 'Qxb3'], ['axb3', 'Nd5\n'], ['Rd1', 'Nxe7'], ['Bxe5', 'Nc6'], ['Bc7', '']]",1/2-1/2
Graz op,Graz,1995.??.??,1,"Gurevich, Dmitry","Nickl, Klaus",,,E98,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Ne1', 'Ne8'], ['Be3', 'f5'], ['f3', 'f4'], ['Bf2', 'h5'], ['c5', 'g5'], ['cxd6', 'cxd6'], ['Rc1', 'Ng6'], ['a4', 'Rf7\n'], ['b4', 'Bf8'], ['a5', 'Rg7'], ['Kh1', 'Bd7'], ['Bb5', 'g4'], ['Bxd7', 'Qxd7'], ['Qa4', 'Qd8'], ['Nb5', 'Be7\n'], ['Nxa7', 'Bh4'], ['Bxh4', 'Nxh4'], ['Nb5', 'gxf3'], ['gxf3', 'Qd7'], ['Rf2', 'Nf6'], ['Rc7', 'Qe8'], ['Rxg7+', 'Kxg7\n'], ['Ng2', 'Nxf3'], ['Rxf3', 'Nxe4'], ['Qc2', 'Qxb5'], ['Qxe4', 'Rc8'], ['Nxf4', 'Rc1+'], ['Kg2', 'exf4\n'], ['Qe7+', 'Kh8'], ['Qf8+', 'Kh7'], ['Qf7+', 'Kh8'], ['Qxh5+', 'Kg7'], ['Qg5+', '']]",1-0
Graz op,Graz,1995.??.??,2,"Kotz, Heinz Peter","Gurevich, Dmitry",,,B89,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Nxd4', 'Nc6'], ['Bc4', 'e6'], ['Be3', 'a6'], ['Qe2', 'Qc7\n'], ['Bb3', 'Be7'], ['O-O-O', 'Na5'], ['g4', 'b5'], ['g5', 'Nxb3+'], ['axb3', 'Nd7'], ['h4', 'b4'], ['Na4', 'Nc5\n'], ['h5', 'Bd7'], ['g6', 'Nxb3+'], ['Nxb3', 'Bxa4'], ['gxf7+', 'Kxf7'], ['Kb1', 'Bf6'], ['f4', 'Rhc8'], ['Bd4', 'e5\n'], ['fxe5', 'dxe5'], ['Be3', 'Qc4'], ['Qg2', 'Qxc2+'], ['Qxc2', 'Rxc2'], ['Kxc2', 'Rc8+'], ['Kb1', 'Bxb3\n'], ['Rc1', 'Rc4'], ['Rxc4', 'Bxc4'], ['Kc2', 'Be2'], ['Rh2', 'Bf3'], ['Kd3', 'Ke6'], ['h6', 'g5'], ['Rc2', 'Kd7\n'], ['Bb6', 'Be7'], ['Bc5', 'Bd8'], ['Bxb4', 'g4'], ['Be1', 'Bg5'], ['Bg3', 'Bf4'], ['Bxf4', 'exf4'], ['Rc5', 'g3\n'], ['Rg5', 'Ke6'], ['Rg7', 'Bg2'], ['Rxh7', 'f3'], ['Rc7', 'f2'], ['Rc1', 'Kf7'], ['e5', 'Kg6'], ['e6', '']]",1/2-1/2
Graz op,Graz,1995.??.??,3,"Gurevich, Dmitry","Trabert, Bettina",,,E06,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c6'], ['Qc2', 'Nf6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'b6'], ['b3', 'Bb7'], ['Nc3', 'Na6\n'], ['Rd1', 'Qc8'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['e4', 'dxe4'], ['Nxe4', 'Be7'], ['Qe2', 'Qc7'], ['a3', 'Rad8\n'], ['Nc3', 'Rfe8'], ['b4', 'c5'], ['Nb5', 'Qb8'], ['Ne5', 'Bxg2'], ['Kxg2', 'Qb7+'], ['Qf3', 'Qxf3+'], ['Kxf3', 'Bf6\n'], ['Nc6', 'Rd7'], ['dxc5', 'Rxd1'], ['Rxd1', 'bxc5'], ['Nd6', 'Ra8'], ['Ne4', 'Bb2'], ['b5', 'f5'], ['bxa6', 'fxe4+\n'], ['Kxe4', '']]",1-0
Graz op,Graz,1995.??.??,4,"Conquest, Stuart","Gurevich, Dmitry",,,B74,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Nxd4', 'Nc6'], ['Be2', 'g6'], ['Nb3', 'Bg7'], ['O-O', 'a6\n'], ['Be3', 'O-O'], ['f4', 'b5'], ['Bf3', 'Bd7'], ['e5', 'dxe5'], ['fxe5', 'Nxe5'], ['Bxa8', 'Qxa8'], ['Bd4', 'Bg4\n'], ['Qe1', 'Nc6'], ['Bxf6', 'Bxf6'], ['Rxf6', 'exf6'], ['Qh4', 'Ne5'], ['Qxf6', 'Re8'], ['Qf4', 'Bf5'], ['Nd4', 'b4\n'], ['Nce2', 'Be4'], ['Qg3', 'Qd5'], ['Re1', 'Nc4'], ['Qf2', 'Nxb2'], ['Nf4', 'Qb7'], ['Nf5', 'gxf5'], ['Nh5', 'Re6']]",0-1
Graz op,Graz,1995.??.??,5,"Gurevich, Dmitry","Burmakin, Vladimir",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['Nc3', 'a6'], ['Nf3', 'b5'], ['c5', 'Nbd7'], ['Bd3', 'g6'], ['O-O', 'Bg7'], ['e4', 'dxe4\n'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Qc7'], ['g3', 'Nf6'], ['Bf4', 'Qb7'], ['Be5', 'O-O'], ['Bxf6', 'exf6'], ['Ne1', 'Be6\n'], ['Nc2', 'f5'], ['Bg2', 'Rfd8'], ['Qd2', 'a5'], ['Rfd1', 'Qc7'], ['Qe3', 'Re8'], ['Qf3', 'Bd5'], ['Qd3', 'Bxg2\n'], ['Kxg2', 'Rad8'], ['a4', 'b4'], ['Re1', 'Rxe1'], ['Rxe1', 'Bf6'], ['Rd1', 'h5'], ['Qf3', 'Rd5'], ['b3', 'Kg7\n'], ['Rd3', 'Bg5'], ['Ne3', 'Bxe3'], ['Qxe3', 'Qd8'], ['h4', 'Qd7'], ['Rd2', 'Qe6'], ['Qxe6', '']]",1/2-1/2
