US Amateur Team East,Parsipanny USA,2002.02.16,1,"Milovanovic,Dragan","Caruana,F",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['e3', 'Bg7'], ['Bd3', 'O-O'], ['O-O', 'd5'], ['Nbd2', 'Nbd7'], ['c3', 'b6'], ['e4', 'dxe4\n'], ['Nxe4', 'Bb7'], ['Re1', 'Re8'], ['Bf4', 'Rc8'], ['Qa4', 'a6'], ['Rad1', 'b5'], ['Qc2', 'Nd5'], ['Bg3', 'c6\n'], ['h4', 'c5'], ['dxc5', 'Nxc5'], ['Nxc5', 'Rxc5'], ['Qb1', 'Qb6'], ['h5', 'Bxc3'], ['hxg6', 'hxg6'], ['bxc3', 'Nxc3\n'], ['Qb4', 'Nxd1'], ['Rxd1', 'Bxf3'], ['gxf3', 'Rd8'], ['Be2', 'Rxd1+'], ['Bxd1', 'Rc1'], ['Qd2', 'Qc5\n'], ['Kg2', 'a5'], ['Bf4', 'Rc4'], ['Be3', 'Qd6'], ['Bb3', 'Rh4'], ['Qxa5', 'Qd7'], ['Kf1', 'Qd3+'], ['Kg2', 'Qd7']]",1/2-1/2
AAI GM,New Delhi IND,2011.06.24,3,Hou Yifan,"Caruana,F",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bc5'], ['c3', 'd6'], ['d4', 'Bb6\n'], ['a4', 'Rb8'], ['axb5', 'axb5'], ['Na3', 'O-O'], ['Nxb5', 'Bg4'], ['Re1', 'Bxf3'], ['gxf3', 'Nh5'], ['Kh1', 'Qf6\n'], ['Rg1', 'Nf4'], ['Bxf4', 'Qxf4'], ['Ba4', 'Ra8'], ['Na3', 'Nd8'], ['Nc4', 'Ne6'], ['d5', 'Ng5'], ['Rg4', 'Qf6\n'], ['Nxb6', 'cxb6'], ['Rg3', 'Qf4'], ['Rg4', 'Nh3'], ['Kg2', 'Qh6'], ['Bd7', 'Nf4+'], ['Kh1', 'Nd3'], ['Kg2', 'Rxa1\n'], ['Qxa1', 'Qd2'], ['Qf1', 'h5'], ['Rg3', 'Ra8'], ['Bb5', 'Nf4+'], ['Kh1', 'Qxb2'], ['Rg1', 'Qxc3'], ['Be2', 'Ra2\n'], ['Bd1', 'Qd4']]",0-1
AAI GM,New Delhi IND,2011.06.25,4,"So,W","Caruana,F",,,C53,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['b4', 'Bb6'], ['d3', 'd6'], ['a4', 'a6'], ['O-O', 'O-O'], ['Nbd2', 'Ne7\n'], ['Bb3', 'Ng6'], ['Nc4', 'Ba7'], ['Be3', 'Be6'], ['Bxa7', 'Rxa7'], ['Ne3', 'Qd7'], ['a5', 'Raa8'], ['Re1', 'Bxb3\n'], ['Qxb3', 'Rfe8'], ['c4', 'c6'], ['Rad1', 'Qc7'], ['Qc3', 'Rad8'], ['c5', 'd5'], ['Qc2', 'Ne7'], ['Nf1', 'Nh5\n'], ['Qb2', 'Ng6'], ['g3', 'Nf6'], ['Qc2', 'h6'], ['Ne3', 'Ne7'], ['Qb2', 'Ng6'], ['Qc2', 'Ne7'], ['Qb2', 'Ng6\n'], ['Qc2', '']]",1/2-1/2
AAI GM,New Delhi IND,2011.06.26,5,"Caruana,F","Laznicka,V",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nf3', 'e6'], ['Be2', 'c5'], ['Be3', 'cxd4'], ['Nxd4', 'Ne7'], ['Nd2', 'Nbc6\n'], ['N2f3', 'Be4'], ['O-O', 'Ng6'], ['Nxc6', 'bxc6'], ['Ng5', 'Be7'], ['Nxe4', 'dxe4'], ['Qd4', 'Qd5'], ['Bh5', 'Nxe5\n'], ['Rad1', 'O-O'], ['Qc3', 'Qb5'], ['a4', 'Qb8'], ['Kh1', 'Bf6'], ['Bd4', 'Rc8'], ['Qe3', 'c5'], ['Bc3', 'Qb7\n'], ['Be2', 'Ng6'], ['f3', 'Bxc3'], ['bxc3', 'Rab8'], ['fxe4', 'Qc7'], ['Bb5', 'Rd8'], ['Rd3', 'Ne5'], ['Qg3', 'Rbc8\n'], ['Rdd1', 'Rxd1'], ['Rxd1', 'Rd8'], ['Rd3', 'f6'], ['h3', 'Rd6'], ['Rxd6', 'Qxd6'], ['Qe3', 'a5'], ['Qe2', 'g6\n'], ['Qe1', 'Kg7'], ['Qe2', 'h5'], ['g3', 'Kh6'], ['Kg2', 'Kg7'], ['Kf2', 'Qf8'], ['Qe3', 'g5'], ['Be2', 'Kg6\n'], ['Kg2', 'Qd6'], ['Kf2', 'h4'], ['gxh4', 'gxh4'], ['Kg2', 'Nf7'], ['Qf2', 'Ng5'], ['Qxh4', 'Qc6'], ['Bb5', 'Qa8\n'], ['Bd3', 'f5'], ['Qg3', 'Kf6'], ['Qf4', 'Kg6'], ['Kg3', 'Nxe4+'], ['Bxe4', 'fxe4'], ['c4', 'Qc6'], ['Kg4', 'Qxa4\n'], ['Qxe4+', 'Kf6'], ['Qf4+', '']]",1/2-1/2
AAI GM,New Delhi IND,2011.06.28,6,"Caruana,F","Negi,P",,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e6'], ['f3', 'b5'], ['Qd2', 'Nbd7\n'], ['g4', 'h6'], ['O-O-O', 'Ne5'], ['Qf2', 'b4'], ['Nce2', 'Nc4'], ['Ng3', 'Qc7'], ['Bxc4', 'Qxc4'], ['Kb1', 'g6\n'], ['h4', 'e5'], ['Nb3', 'Be6'], ['h5', 'g5'], ['Nf5', 'Bxf5'], ['gxf5', 'Rc8'], ['Rd3', 'Be7'], ['a3', 'd5\n'], ['exd5', 'Nxd5'], ['Rhd1', 'Nf6'], ['axb4', 'Qxb4'], ['Bd2', 'Qb8'], ['Bc3', 'O-O'], ['Qe3', 'Rfe8'], ['Bxe5', 'Qb5\n'], ['f4', 'Qc4'], ['Qd2', 'Ne4'], ['Qg2', 'Qc6'], ['Rd5', 'Nf6'], ['fxg5', 'hxg5'], ['Qxg5+', 'Kh7'], ['Bxf6', 'Qxc2+\n'], ['Ka2', 'Rg8'], ['Qxg8+', 'Rxg8'], ['Bxe7', 'Rg3'], ['Na5', 'Rg2'], ['Ba3', 'Rf2'], ['Nb3', 'Rf3'], ['Nc5', 'Qc4+\n'], ['Kb1', 'Rf1'], ['Rd4', 'Qe2'], ['Rxf1', 'Qxf1+'], ['Ka2', 'Qxf5'], ['Rd6', 'Qf1'], ['Nxa6', 'f5'], ['Nb4', 'Qc4+\n'], ['b3', 'Qe2+'], ['Bb2', 'Qxh5'], ['Nd5', 'Qf3'], ['Rd7+', 'Kg6'], ['Ne7+', 'Kh6'], ['Rd6+', 'Kh7'], ['Rd8', 'Kh6\n'], ['Rd6+', 'Kh7'], ['Rd4', 'Kh6'], ['Nd5', 'Qe2'], ['b4', 'Kg5'], ['Kb3', 'Qf1'], ['Nf4', 'Qa6'], ['Bc1', 'Kf6\n'], ['Bd2', 'Qf1'], ['Rd5', 'Qb1+'], ['Kc4', 'Qa2+'], ['Kb5', 'Qa8'], ['Bc3+', 'Kg5'], ['Be5', 'Qa7'], ['Ne6+', 'Kg4\n'], ['Rd4+', 'Kf3'], ['Nc5', 'Ke3'], ['Kc6', 'Qf7'], ['Rd3+', 'Ke2'], ['Rd5', 'Qe8+'], ['Kb6', 'Qf7'], ['Rd6', 'Kf3\n'], ['b5', 'Qe8'], ['Re6', 'Qc8'], ['Bc7', 'Qa8'], ['Rd6', 'Ke2'], ['Ne6', 'Qe4'], ['Nd4+', 'Kf2'], ['Nc6', 'Qc2\n'], ['Kb7', 'Qb3'], ['b6', 'f4'], ['Kc8', 'Qh3+'], ['Rd7', 'f3'], ['b7', 'Kg2'], ['b8=Q', 'f2'], ['Qb2', 'Kh1\n'], ['Ne5', 'f1=Q'], ['Kb8', 'Qh8+'], ['Rd8', 'Qhf6'], ['Qb7+', 'Kg1'], ['Rg8+', 'Kh2'], ['Ng4+', '']]",1-0
AAI GM,New Delhi IND,2011.06.29,7,"Sasikiran,K","Caruana,F",,,E60,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'c6'], ['Bg2', 'd5'], ['b3', 'O-O'], ['O-O', 'dxc4'], ['bxc4', 'c5\n'], ['Bb2', 'cxd4'], ['Nxd4', 'Qb6'], ['Qb3', 'Ng4'], ['e3', 'Nc6'], ['Rd1', 'Na5'], ['Qxb6', 'axb6'], ['Ba3', 'Nc6\n'], ['Bb2', 'Nge5'], ['Nd2', 'Bd7'], ['h3', 'Ra4'], ['Nb5', 'Bf5'], ['Nc3', 'Rb4'], ['Ba3', 'Rxc4'], ['Nd5', 'Rc2\n'], ['Bxe7', 'Ra8'], ['Ne4', 'Nd7'], ['Bf6', 'Nxf6'], ['Nexf6+', 'Bxf6'], ['Nxf6+', 'Kg7'], ['Ne4', 'Raxa2\n'], ['Rxa2', 'Rxa2'], ['g4', 'Be6'], ['Rb1', 'Ra6'], ['Nd6', 'Kf8'], ['Bf1', 'Ra2'], ['Bc4', 'Bxc4'], ['Nxc4', 'Ra4\n'], ['Nd6', 'Rb4'], ['Rc1', 'Ke7'], ['Nxb7', 'Kd7'], ['Rd1+', 'Ke7'], ['Nd6', 'Na7'], ['Nxf7', 'Nc6'], ['Nd6', 'b5\n'], ['Nc8+', 'Ke8'], ['Kg2', 'Rb2'], ['Nd6+', 'Ke7'], ['Ne4', 'Rc2'], ['Rd5', 'b4'], ['Rb5', 'Rc4'], ['f3', 'Ke6\n'], ['Kg3', 'Ne5'], ['Rb6+', 'Nc6'], ['g5', 'Kd7'], ['Nf6+', 'Kd6'], ['Rb7', 'Na5'], ['Rb5', 'Nc6'], ['Ne4+', 'Kc7\n'], ['Nf6', 'Ne7'], ['e4', 'Kc6'], ['Rb8', 'Kc7'], ['Rb5', 'Kc6'], ['Re5', 'Nc8'], ['Rd5', 'Ne7'], ['Rd8', 'Rc5\n'], ['Kf4', 'b3'], ['Rd1', 'Kb5'], ['Nd7', 'Rc3'], ['Ne5', 'b2'], ['Rb1', 'Rb3'], ['h4', 'Nc8'], ['h5', 'gxh5\n'], ['Nd3', 'Rxd3'], ['Rxb2+', 'Kc6'], ['Rh2', 'Ne7'], ['Rxh5', 'Ng6+'], ['Kg4', 'Ne5+'], ['Kf5', 'Nxf3\n'], ['Rxh7', 'Nxg5'], ['Kxg5', 'Kd6'], ['Kf4', 'Ra3'], ['Rh6+', 'Ke7'], ['Kf5', 'Ra1'], ['Rh7+', 'Ke8'], ['Rb7', 'Ra5+\n'], ['e5', 'Ra6'], ['Rg7', 'Rb6'], ['Ra7', 'Rc6'], ['Ke4', 'Rb6'], ['Ra5', 'Ke7'], ['Kd5', 'Rh6'], ['Ra7+', 'Ke8\n'], ['e6', 'Rh1'], ['Kd6', '']]",1/2-1/2
AAI GM,New Delhi IND,2011.06.30,8,"Caruana,F",Hou Yifan,,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e6'], ['f3', 'b5'], ['Qd2', 'b4\n'], ['Nce2', 'e5'], ['Nb3', 'Nc6'], ['c4', 'Be6'], ['Ng3', 'Qc7'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['Nc1', 'a5\n'], ['b3', 'Nd7'], ['Nd3', 'Nc5'], ['Rab1', 'Rfb8'], ['f4', 'Nxd3'], ['Qxd3', 'exf4'], ['Bxf4', 'Ne5'], ['Qd2', 'Qc6\n'], ['Nf5', 'Re8'], ['Rbd1', 'Bxf5'], ['exf5', 'Rad8'], ['Qd5', 'Qa6'], ['Qb5', 'Qxb5'], ['cxb5', 'd5'], ['Bxe5', 'Bc5+\n'], ['Bd4', 'Bxd4+'], ['Rxd4', 'Rxe2'], ['Rc1', 'Kf8'], ['b6', 'Rb8'], ['Rc6', 'Rxa2'], ['Rxd5', 'a4'], ['bxa4', 'b3\n'], ['Rb5', 'Re8'], ['h4', 'Ree2'], ['Kh2', 'Rxg2+'], ['Kh3', 'Rh2+'], ['Kg3', 'Rhg2+'], ['Kf4', 'Rgf2+\n'], ['Ke5', 'g6'], ['Kf6', 'Rac2'], ['Rxc2', 'bxc2'], ['b7', '']]",1-0
AAI GM,New Delhi IND,2011.07.01,9,"Laznicka,V","Caruana,F",,,E60,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'c6'], ['Bg2', 'd5'], ['Qb3', 'O-O'], ['O-O', 'Qb6'], ['Nc3', 'Rd8\n'], ['Rd1', 'Bf5'], ['Ne1', 'Be6'], ['c5', 'Qc7'], ['Nd3', 'Bf5'], ['Bf4', 'Qc8'], ['Ne5', 'Be6'], ['f3', 'Nfd7\n'], ['Qa3', 'Nxe5'], ['Bxe5', 'Bh6'], ['e4', 'Na6'], ['exd5', 'Bxd5'], ['Nxd5', 'Rxd5'], ['g4', 'Rd8'], ['h3', 'Nc7\n'], ['f4', 'Bg7'], ['Qe3', 'Rd7'], ['f5', 'Qf8'], ['Qg3', 'Ne8'], ['Rf1', 'g5'], ['h4', 'h6'], ['hxg5', 'hxg5\n'], ['Qe3', 'Rad8'], ['Rae1', 'Rxd4'], ['f6', 'Bxf6'], ['Rxf6', 'Rxg4'], ['Rf2', 'Qh6'], ['Qf3', 'Qh5'], ['Bc3', 'Ng7\n'], ['Rff1', 'Ne6'], ['Rxe6', 'fxe6'], ['Qe2', 'Kh7'], ['Qxe6', '']]",1-0
AAI GM,New Delhi IND,2011.07.02,10,"Caruana,F","So,W",,,E06,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'Bd6'], ['a4', 'Nbd7'], ['Ba5', 'Qb8'], ['b4', 'Be4'], ['Qc1', 'Qb7'], ['Re1', 'Bd5\n'], ['Nc3', 'Ne4'], ['Nxd5', 'exd5'], ['Ng5', 'Nxg5'], ['Qxg5', 'c6'], ['axb5', 'axb5'], ['Rac1', 'Nb6'], ['e4', 'dxe4\n'], ['Bxe4', 'Nc4'], ['d5', 'c5'], ['bxc5', 'Rxa5'], ['cxd6', 'Qd7'], ['Qf4', 'Nxd6'], ['Rc6', 'Nxe4'], ['Qxe4', 'b4\n'], ['Qxb4', 'Rxd5']]",1/2-1/2
Biel ACCENTUS GM,Biel SUI,2011.07.18,1,"Caruana,F","Vachier Lagrave,M",,,B96,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'h6'], ['Bh4', 'Qb6\n'], ['a3', 'Nbd7'], ['Bc4', 'g5'], ['Bf2', 'Qc7'], ['Qe2', 'Nb6'], ['Bb3', 'gxf4'], ['O-O-O', 'Be7'], ['Rhe1', 'Rg8\n'], ['g3', 'fxg3'], ['Bxg3', 'e5'], ['Nf5', 'Bxf5'], ['exf5', 'Rg7'], ['Kb1', 'O-O-O'], ['Bf2', 'Rd7'], ['Bxb6', 'Qxb6\n'], ['Bxf7', 'Kb8'], ['Bb3', 'Rc7'], ['Rd3', 'Rg5'], ['Rf1', 'h5'], ['h3', 'Rg1'], ['Rxg1', 'Qxg1+'], ['Ka2', 'Qg5\n'], ['Qf3', 'h4'], ['Re3', 'Rc5'], ['Ne4', 'Nxe4'], ['Rxe4', 'Bf6'], ['Rb4', 'Qg7'], ['Qd3', 'Qd7'], ['Rb6', 'Rc6\n'], ['Rb4', 'Qc7'], ['Qd5', 'Ka7'], ['Rg4', 'Qc8'], ['Qe4', 'd5'], ['Qxd5', 'Qxf5'], ['c3', 'Qf2'], ['Qf7', 'e4\n'], ['Rg7', 'Qb6'], ['Rg2', 'e3']]",1/2-1/2
Biel ACCENTUS GM,Biel SUI,2011.07.19,2,"Caruana,F","Pelletier,Y",,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['Bd3', 'c5'], ['Be3', 'Qc7\n'], ['Qe2', 'a6'], ['O-O', 'b6'], ['dxc5', 'Bxc5'], ['Bxc5', 'Qxc5'], ['Qe5', 'Qxe5'], ['Nxe5', 'Ke7'], ['a4', 'Bb7\n'], ['Ra3', 'a5'], ['f4', 'g6'], ['Re1', 'Rhd8'], ['g3', 'Rab8'], ['Rb3', 'Ba8'], ['Rc3', 'Rbc8'], ['Rxc8', 'Rxc8\n'], ['Kf2', 'Nd7'], ['Nxd7', 'Kxd7'], ['h4', 'h5'], ['Ke3', 'Rc5'], ['Kd2', 'Bc6'], ['b3', 'Kd6'], ['c3', 'Bd7\n'], ['Re4', 'Rd5'], ['Ke3', 'Rc5'], ['Bc4', 'b5'], ['Rd4+', 'Kc7'], ['axb5', 'Bxb5'], ['Bxb5', 'Rxb5'], ['b4', 'axb4\n'], ['cxb4', 'e5'], ['fxe5', 'Rxe5+'], ['Re4', 'Rb5'], ['Rf4', 'f5'], ['Rd4', 'Re5+'], ['Kf4', 'Re6'], ['Kg5', 'Kc6\n'], ['Rd8', 'Re3'], ['Kxg6', 'Rxg3+'], ['Kxh5', 'f4'], ['Rf8', 'f3'], ['Rf5', 'Kb6'], ['Kh6', 'Kc6'], ['h5', 'Kb6\n'], ['Kh7', 'Kc6'], ['h6', 'Kb6'], ['Kh8', 'Kc6'], ['h7', 'Kb6'], ['Rf8', 'Kb5'], ['Rb8+', 'Kc6'], ['b5+', 'Kc7\n'], ['Rg8', 'f2'], ['Rf8', '']]",1/2-1/2
Biel ACCENTUS GM,Biel SUI,2011.07.20,3,"Shirov,A","Caruana,F",,,C24,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['d3', 'c6'], ['Nf3', 'Be7'], ['O-O', 'd6'], ['Nbd2', 'O-O'], ['Re1', 'Nbd7'], ['a3', 'h6\n'], ['Nf1', 'Nh7'], ['Ng3', 'Nb6'], ['Bb3', 'Ng5'], ['c3', 'Bg4'], ['d4', 'Qc8'], ['Qd3', 'Nxf3+'], ['gxf3', 'Be6\n'], ['d5', 'Bh3'], ['f4', 'exf4'], ['Bxf4', 'Qg4'], ['Bd2', 'Bg5'], ['f3', 'Qh4'], ['Bxg5', 'hxg5'], ['dxc6', 'bxc6\n'], ['Nf5', 'Bxf5'], ['exf5', 'd5'], ['Qd4', 'Qh6'], ['Re2', 'Rfe8'], ['Rae1', 'Rxe2'], ['Rxe2', 'Qd6'], ['c4', 'c5\n'], ['Qd2', 'd4'], ['Qxg5', 'd3'], ['Re4', 'Nd7'], ['Qe7', 'Qc6'], ['Re3', 'd2'], ['Rd3', 'Nf6'], ['Qe3', 'Qc7\n'], ['Qxd2', 'Qe5'], ['Rd8+', 'Rxd8'], ['Qxd8+', 'Kh7'], ['Qd2', 'a5'], ['Kf1', 'Kg8'], ['Bd1', 'Qc7'], ['Ke1', 'Qe5+\n'], ['Be2', 'Qc7'], ['Kd1', 'Nd7'], ['h4', 'Nf6'], ['Kc2', 'Kh7'], ['Kb3', 'Nd7'], ['Ka2', 'Nf6'], ['Bd1', 'Nh5\n'], ['Ba4', 'f6'], ['Be8', 'Nf4'], ['Qd7', 'Qb8'], ['Bf7', 'Ne2'], ['Bg6+', 'Kh8'], ['h5', 'Nd4'], ['Kb1', 'Qg8\n'], ['h6', 'gxh6'], ['Qe7', 'Nxf3'], ['Bf7', 'Qg1+'], ['Ka2', 'Ne5'], ['Qf8+', 'Kh7'], ['Bg6+', '']]",1-0
Biel ACCENTUS GM,Biel SUI,2011.07.22,4,"Carlsen,M","Caruana,F",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Nxc6', 'bxc6'], ['Bd3', 'Qh4'], ['Qe2', 'Ne7'], ['Nc3', 'O-O\n'], ['Be3', 'Bb6'], ['O-O', 'd5'], ['exd5', 'Nxd5'], ['Bd2', 'Bd4'], ['Rae1', 'Nb4'], ['Qe4', 'Qxe4'], ['Bxe4', 'Ba6\n'], ['Ne2', 'Bc5'], ['a3', 'Nd5'], ['b4', 'Bd6'], ['Nd4', 'Bxf1'], ['Kxf1', 'Nb6'], ['Nxc6', 'Rfe8'], ['a4', 'Kf8\n'], ['a5', 'Nc4'], ['Bc1', 'a6'], ['f4', 'Re6'], ['Bd5', 'Rf6'], ['Re4', '']]",1-0
Biel ACCENTUS GM,Biel SUI,2011.07.23,5,"Caruana,F","Morozevich,A",,,E04,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Nf3', 'dxc4'], ['Bg2', 'a6'], ['O-O', 'Nc6'], ['e3', 'Bd7'], ['Nc3', 'Nd5\n'], ['Nd2', 'Nb6'], ['Qe2', 'Na5'], ['Rd1', 'Bb4'], ['Nf3', 'O-O'], ['Bd2', 'Qe7'], ['Ne4', 'Bb5'], ['Bc3', 'Na4\n'], ['Qd2', 'Nxc3'], ['Nxc3', 'Ba4'], ['Rdc1', 'c5'], ['d5', 'Rad8'], ['e4', 'b5'], ['Qe3', 'Bxc3'], ['Qxc3', 'b4\n'], ['Qe5', 'Bb5'], ['Rd1', 'Rd6'], ['Rac1', 'Qd8'], ['Qh5', 'exd5'], ['exd5', 'Rh6'], ['Qf5', 'Rf6'], ['Qe4', 'Nb7\n'], ['Qc2', 'Re8'], ['Re1', 'Nd6'], ['Rxe8+', 'Qxe8'], ['Re1', 'Qc8'], ['Ne5', 'Qf5'], ['Qxf5', 'Rxf5'], ['Bh3', 'Rh5\n'], ['Bg4', 'Rh6'], ['Rc1', 'f6'], ['Nc6', 'f5'], ['Bd1', 'Kf8'], ['Bf3', 'Ne4'], ['Bxe4', 'fxe4'], ['Nd8', 'Ke7\n'], ['Nb7', 'Rh5'], ['Nxc5', 'e3'], ['Re1', 'Kd6'], ['Ne4+', 'Kxd5'], ['Rxe3', 'Kd4'], ['Nd2', 'Bc6'], ['h4', 'Ra5\n'], ['a3', 'bxa3'], ['bxa3', 'Rb5']]",0-1
Biel ACCENTUS GM,Biel SUI,2011.07.25,6,"Vachier Lagrave,M","Caruana,F",,,A30,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c5'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'Be7'], ['b3', 'd6'], ['Bb2', 'Nbd7\n'], ['e3', 'O-O'], ['Qe2', 'Qc7'], ['Rfd1', 'a6'], ['Rac1', 'Rfe8'], ['d4', 'Ne4'], ['Nxe4', 'Bxe4'], ['Ne1', 'Bxg2\n'], ['Nxg2', 'cxd4'], ['exd4', 'Qb7'], ['Ne3', 'Rac8'], ['Ba3', 'Bf8'], ['d5', 'e5'], ['h4', 'g6'], ['h5', 'f5\n'], ['hxg6', 'hxg6'], ['Kg2', 'Nf6'], ['Rh1', 'Qd7'], ['Rh4', 'Bg7'], ['Rch1', 'g5'], ['Rh5', 'f4'], ['Rxg5', 'fxe3\n'], ['Qxe3', 'Rf8'], ['Rh4', 'Nh7'], ['Rgh5', 'Nf6'], ['Rg5', 'Nh7'], ['Rgh5', '']]",1/2-1/2
Biel ACCENTUS GM,Biel SUI,2011.07.26,7,"Pelletier,Y","Caruana,F",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'Nc6'], ['d5', 'Ne5'], ['Nxe5', 'Bxe5'], ['Qd2', 'e6'], ['f4', 'Bc7'], ['O-O', 'exd5'], ['exd5', 'Ba5\n'], ['d6', 'Rb8'], ['Bb2', 'b5'], ['Rbd1', 'Bd7'], ['Bf3', 'c4'], ['Kh1', 'Bf5'], ['Qd4', 'Bb6'], ['Qd5', 'Be6\n'], ['Qe5', 'Qd7'], ['Ba3', 'Rfe8'], ['Rfe1', 'Bf2'], ['Rf1', 'Bb6'], ['Rfe1', 'Bf2'], ['Rf1', 'Bf5'], ['Qf6', 'Be3\n'], ['Bd5', 'Be4'], ['Bxe4', 'Rxe4'], ['f5', 'Rbe8'], ['h3', 'Bh6'], ['Bb4', 'Bg7'], ['Qg5', 'h6'], ['Qd2', 'gxf5\n'], ['Qf2', 'f4'], ['Qc5', 'Be5'], ['Qd5', 'Re3'], ['a4', 'bxa4'], ['Qxc4', 'a5'], ['Bxa5', 'Kh8'], ['Rd3', 'Rxd3\n'], ['Qxd3', 'Qxd6'], ['Qxd6', 'Bxd6'], ['Bb4', 'Bc7'], ['Ra1', 'Ra8'], ['Kg1', 'Kg7'], ['Kf2', 'Kf6'], ['Ke2', 'Ke5\n'], ['Kd3', 'Kd5'], ['Rd1', 'Be5'], ['Kc2+', 'Kc4'], ['Re1', 'f6'], ['Re4+', 'Kb5'], ['Kb2', 'Rg8'], ['Re2', 'Rg3\n'], ['Rf2', 'h5'], ['Ka2', 'Re3'], ['Kb2', 'Re1'], ['Ka2', 'Kc4'], ['Ka3', 'Ra1+'], ['Kb2', 'Rd1'], ['Ka3', 'Re1\n'], ['Ba5', 'Kd3'], ['Kxa4', 'Re2']]",0-1
