Berlin,Berlin,1862.??.??,?,"Holdheim, O.","Wolff, Patrick G",,,C26,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'Nf6'], ['f4', 'Bxg1'], ['Rxg1', 'exf4'], ['e5', 'Qe7'], ['Kf2', 'Qc5+'], ['d4', 'Qxc4\n'], ['exf6', 'g5'], ['Re1+', 'Kd8'], ['g3', 'fxg3+'], ['hxg3', 'Nc6'], ['Bxg5', 'Nxd4'], ['Re4', 'c5'], ['Be3', 'd5\n'], ['Bxd4', 'dxe4'], ['Bxc5+', 'Bd7'], ['Qd6', 'Qe6'], ['Qe7+', 'Qxe7'], ['fxe7+', 'Kc7'], ['Nxe4', 'b6\n'], ['Bd6+', 'Kb7'], ['Be5', 'Bc6'], ['Nd6+', 'Ka6'], ['Bxh8', 'Rxh8'], ['Re1', 'Be8'], ['Kf3', 'b5'], ['Kf4', 'Kb6\n'], ['Kf5', 'Kc6'], ['Nxe8', 'Rxe8'], ['Kf6', '']]",1-0
San Francisco,San Francisco,1991.??.??,1,"Browne, Walter S","Wolff, Patrick G",,,D89,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'c5'], ['Ne2', 'Nc6\n'], ['Be3', 'O-O'], ['O-O', 'Bg4'], ['f3', 'Na5'], ['Bd3', 'cxd4'], ['cxd4', 'Be6'], ['Qa4', 'a6'], ['d5', 'b5\n'], ['Qb4', 'Nc6'], ['Qc5', 'Bxa1'], ['Rxa1', 'Ne5'], ['Bh6', 'Bd7'], ['Qd4', 'f6'], ['Bxf8', 'Kxf8'], ['f4', 'Nxd3\n'], ['Qxd3', 'Rc8'], ['Qe3', 'Rc4'], ['h3', 'Qa5'], ['e5', 'Qb4'], ['Rd1', 'Re4'], ['Qf3', 'Qc4'], ['Rd2', 'Qc5+\n'], ['Kh2', 'Re3'], ['Qf1', 'Bf5'], ['exf6', 'exf6'], ['Qg1', 'Qa3'], ['Qf1', 'Qb4'], ['Qd1', 'Qd6'], ['Rd4', 'Qc5\n'], ['Ng3', 'Bd7']]",1/2-1/2
San Francisco,San Francisco,1991.??.??,2,"Wolff, Patrick G","Tal, Mihail",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bb7'], ['c3', 'Nxe4'], ['d4', 'Na5\n'], ['Nxe5', 'Nxb3'], ['Qxb3', 'Qf6'], ['f3', 'Nc5'], ['Ng4', 'Nxb3'], ['Nxf6+', 'gxf6'], ['Re1+', 'Be7'], ['axb3', 'd6\n'], ['Bf4', 'Kd7'], ['Nd2', 'a5'], ['Nf1', 'Bd5'], ['c4', 'Bc6'], ['Ne3', 'a4'], ['d5', 'Bb7'], ['Ra3', 'Rhb8\n'], ['cxb5', 'axb3'], ['Rxb3', 'Ra4'], ['g3', 'Ba6'], ['Nf5', 'Bd8'], ['Re4', 'Ra1+'], ['Kf2', 'Rxb5'], ['Rxb5', 'Bxb5\n'], ['Rb4', 'Bd3'], ['Nd4', 'Ra5'], ['Ke3', 'Bb1'], ['Nb5', 'f5'], ['Nc3', 'Ba2'], ['b3', 'Bf6'], ['Kd3', 'Bxc3\n'], ['Kxc3', 'Bb1'], ['Rd4', 'Ra2'], ['Rd1', 'Rc2+'], ['Kb4', 'Rb2'], ['Rc1', 'Ba2'], ['Ka3', 'Rxh2'], ['Ra1', 'Bxb3\n'], ['Kxb3', 'Rf2'], ['Rh1', 'Rxf3+'], ['Kc4', 'Ke7'], ['Rxh7', 'Kf6'], ['Rh8', 'Rf2'], ['Rc8', 'Rc2+'], ['Kd3', 'Rc5\n'], ['Kd4', 'Ke7'], ['Bg5+', 'f6'], ['Bf4', 'Rc2'], ['Rh8', 'Kf7'], ['Rh1', '']]",1-0
San Francisco,San Francisco,1991.??.??,3,"Adianto, Utut","Wolff, Patrick G",,,D77,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'd5'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['c4', 'dxc4'], ['Na3', 'c3'], ['bxc3', 'c5\n'], ['e3', 'Nc6'], ['Qe2', 'Qa5'], ['Bb2', 'Bf5'], ['c4', 'Ne4'], ['Rfc1', 'Rad8'], ['d5', 'Bxb2'], ['Qxb2', 'Nb4\n'], ['Ne1', 'Nd6'], ['f3', 'Bc8'], ['e4', 'e6'], ['Bf1', 'Rfe8'], ['Nac2', 'Nxc2'], ['Rxc2', 'b5'], ['dxe6', 'Bxe6\n'], ['cxb5', 'c4'], ['a4', 'a6'], ['bxa6', 'Qxa6'], ['Ng2', 'Rb8'], ['Qd4', 'Red8'], ['Qf2', 'f6'], ['Qd4', 'Ne8\n'], ['Bxc4', 'Rxd4'], ['Bxa6', 'Ra8'], ['Bb5', 'Nd6'], ['Bc6', 'Ra5'], ['Rb1', 'f5'], ['Nf4', 'Bf7'], ['exf5', 'Nxf5\n'], ['Rb7', 'Rd1+'], ['Kf2', 'Nd4'], ['Rc3', 'Re5'], ['Be4', 'Rd2+'], ['Ke3', '']]",1-0
San Francisco,San Francisco,1991.??.??,4,"Wolff, Patrick G","Fedorowicz, John P",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['a4', 'Bb7\n'], ['d3', 'd6'], ['Nbd2', 'Na5'], ['Ba2', 'c5'], ['Nf1', 'b4'], ['Bd2', 'Rb8'], ['Ng3', 'Bc8'], ['h3', 'Ne8'], ['Nf1', 'Be6']]",1/2-1/2
San Francisco,San Francisco,1991.??.??,5,"Rogers, Ian","Wolff, Patrick G",,,D92,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['Bf4', 'O-O'], ['Rc1', 'dxc4'], ['e3', 'Be6'], ['Ng5', 'Bd5\n'], ['e4', 'h6'], ['exd5', 'hxg5'], ['Bxg5', 'Nxd5'], ['Bxc4', 'Nb6'], ['Bb3', 'Nc6'], ['d5', 'Nd4'], ['O-O', 'Qd7\n'], ['a3', 'Nxb3'], ['Qxb3', 'Rfe8'], ['Rfd1', 'Rad8'], ['Bf4', 'c6'], ['dxc6', 'Qxc6'], ['h3', 'Qc4'], ['Qxc4', 'Nxc4\n'], ['Nd5', 'Nxb2'], ['Nxe7+', 'Kf8'], ['Rxd8', 'Rxd8'], ['Nc8', 'Nd3'], ['Rd1', 'Rxc8'], ['Rxd3', 'Rc4\n'], ['Be3', 'b6'], ['Rd8+', 'Ke7'], ['Ra8', 'Rc7'], ['g4', 'Bb2'], ['a4', 'Bc1'], ['Bxc1', '']]",1/2-1/2
San Francisco,San Francisco,1991.??.??,6,"Wolff, Patrick G","Christiansen, Larry Mark",,,B42,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Bd3', 'Bc5'], ['Nb3', 'Ba7'], ['Qe2', 'Nc6'], ['Be3', 'Nf6\n'], ['Nc3', 'd6'], ['g4', 'b5'], ['g5', 'Nd7'], ['Rg1', 'Bxe3'], ['Qxe3', 'Qb6'], ['Qg3', 'Nce5'], ['Be2', 'b4\n'], ['Nd1', 'Bb7'], ['f4', 'Ng6'], ['Nf2', 'e5'], ['fxe5', 'dxe5'], ['O-O-O', 'Nf4'], ['Bg4', 'Nc5'], ['Nxc5', 'Qxc5\n'], ['Bd7+', 'Ke7'], ['Rge1', 'Rhd8'], ['Bg4', 'a5'], ['Kb1', 'a4'], ['Qe3', 'Qxe3'], ['Rxe3', 'Rxd1+'], ['Bxd1', 'Rd8\n'], ['Kc1', 'Ne6'], ['h4', 'Nc5'], ['Be2', 'f6'], ['gxf6+', 'gxf6'], ['Rg3', 'Bxe4'], ['Rg7+', 'Kd6'], ['Rf7', 'f5\n'], ['Nxe4+', 'Nxe4'], ['Rxf5', 'Ng3'], ['Rf6+', 'Kc5'], ['Bd1', 'e4'], ['c3', 'bxc3'], ['bxc3', 'a3'], ['Rf7', 'e3\n'], ['Rc7+', 'Kb6'], ['Rxh7', 'e2'], ['Bxe2', 'Nxe2+'], ['Kc2', 'Rc8'], ['Kb3', 'Rxc3+'], ['Kb4', 'Rh3'], ['Rh6+', 'Kc7\n'], ['Ra6', 'Nd4'], ['h5', 'Nc6+'], ['Kc4', 'Kb7'], ['Ra4', 'Ne5+'], ['Kb5', 'Nd7'], ['h6', 'Nb6'], ['Rg4', 'Nd5\n'], ['Rg7+', 'Nc7+'], ['Ka4', 'Kc6'], ['h7', 'Nd5'], ['h8=Q', 'Rxh8'], ['Kxa3', 'Rb8'], ['Rg3', '']]",1/2-1/2
San Francisco,San Francisco,1991.??.??,7,"Ftacnik, Lubomir","Wolff, Patrick G",,,D97,"[['Nf3', 'g6'], ['d4', 'Nf6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['Qb3', 'dxc4'], ['Qxc4', 'O-O'], ['e4', 'a6'], ['e5', 'b5\n'], ['Qb3', 'Ng4'], ['Bf4', 'c5'], ['dxc5', 'Nc6'], ['Rd1', 'Qa5'], ['Qa3', 'Qxa3'], ['bxa3', 'Be6'], ['a4', 'bxa4\n'], ['Nxa4', 'Ngxe5'], ['Nxe5', 'Nxe5'], ['Nb6', 'Ra7'], ['a4', 'Nd7'], ['Be3', 'Bc3+'], ['Ke2', 'Rc7'], ['Nd5', 'Bxd5\n'], ['Rxd5', 'e6'], ['Rd6', 'Nxc5'], ['Kf3', 'Be5'], ['Rb6', 'Nxa4'], ['Rxa6', 'Nc3'], ['g3', 'Rb8'], ['Rb6', 'Rxb6\n'], ['Bxb6', 'Rb7'], ['Be3', 'Rb1'], ['Kg2', 'Nd5'], ['Bc4', 'Nxe3+'], ['fxe3', 'Rb4'], ['Be2', 'h5'], ['Kf3', 'Kg7\n'], ['Rc1', 'Rb2'], ['Rc5', 'Kf6'], ['Rb5', 'Ra2'], ['Rb1', 'Bd6'], ['h3', 'Rc2'], ['Rd1', 'Ke5'], ['g4', 'hxg4+\n'], ['hxg4', 'g5'], ['Rd4', 'f5'], ['Bd3', 'Rc6'], ['Rc4', 'Rb6'], ['Rc8', 'Rb3'], ['Bc4', 'Rb4'], ['gxf5', 'exf5\n'], ['Re8+', 'Kf6'], ['Re6+', 'Kf7'], ['Bd5', 'g4+'], ['Ke2', 'Bf8']]",1/2-1/2
San Francisco,San Francisco,1991.??.??,8,"Wolff, Patrick G","Torre, Eugenio",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['Be3', 'Be7'], ['c3', 'Nc5'], ['Bc2', 'Bg4'], ['Nbd2', 'Qd7'], ['Qb1', 'Bh5'], ['b4', 'Ne6'], ['a4', 'Rd8\n'], ['axb5', 'axb5'], ['Bf5', 'Bg6'], ['Nb3', 'Bxf5'], ['Qxf5', 'O-O'], ['Qd3', 'Ra8'], ['Rfd1', 'Rxa1'], ['Rxa1', 'f6\n'], ['Qxb5', 'Rb8'], ['Qa4', 'fxe5'], ['Na5', 'Ned8'], ['Nxc6', 'Nxc6'], ['b5', 'Nd8'], ['Nxe5', 'Qxb5'], ['g3', '']]",1/2-1/2
San Francisco,San Francisco,1991.??.??,9,"Grefe, John A","Wolff, Patrick G",,,A04,"[['Nf3', 'd6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'c5'], ['d4', 'cxd4'], ['Nxd4', 'Qb6'], ['c3', 'Nf6'], ['Qb3', 'Nbd7\n'], ['Qxb6', 'Nxb6'], ['a4', 'a6'], ['Nb3', 'Be6'], ['Na5', 'Bd5'], ['Bxd5', 'Nbxd5'], ['Rd1', 'Rb8'], ['e4', 'Nc7\n'], ['f3', 'O-O'], ['Be3', 'd5'], ['Bf4', 'Rbc8'], ['Bxc7', 'Rxc7'], ['exd5', 'b6'], ['Nb3', 'Rd8'], ['Na3', 'Rxd5\n'], ['Rxd5', 'Nxd5'], ['Rd1', 'Nxc3'], ['Rd8+', 'Bf8'], ['a5', 'bxa5'], ['Nxa5', 'Na2'], ['N3c4', 'Kg7'], ['Ra8', 'Nb4\n'], ['Kg2', 'e6'], ['f4', 'Be7'], ['Kf3', 'h6'], ['h4', 'h5'], ['b3', 'Bc5'], ['Ke4', 'Rd7'], ['Rc8', 'Nd3'], ['Kf3', 'Be7\n'], ['Nc6', 'f6'], ['Nxe7', 'Rxe7'], ['Rc6', 'Rb7'], ['Na5', 'Rb5'], ['Rxa6', 'Nc5'], ['Ra7+', 'Kh6'], ['Kg2', 'g5\n'], ['fxg5+', 'fxg5'], ['hxg5+', 'Kxg5'], ['Kh3', 'Ne4'], ['Ra6', 'e5'], ['Nc4', 'Rxb3'], ['Nxe5', 'Rxg3+\n'], ['Kh2', 'h4'], ['Nc4', 'Rc3'], ['Ne5', 'Rc2+'], ['Kg1', 'h3'], ['Rg6+', 'Kf5'], ['Rh6', 'Rg2+'], ['Kf1', 'Ng3+\n'], ['Ke1', 'h2'], ['Nf3', 'Rg1+'], ['Kf2', 'Ne4+']]",0-1
San Francisco,San Francisco,1991.??.??,10,"Polgar, Zsuzsa","Wolff, Patrick G",,,D87,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'c5'], ['Ne2', 'Nc6\n'], ['Be3', 'O-O'], ['O-O', 'Bg4'], ['f3', 'Na5'], ['Bxf7+', 'Rxf7'], ['fxg4', 'Rxf1+'], ['Kxf1', 'Qd6'], ['e5', 'Qd5\n'], ['Bf2', 'Rd8'], ['Qc2', 'Qc4'], ['Qb2', 'Rf8'], ['Kg1', 'Qd3'], ['Ng3', 'Bh6'], ['Qe2', 'Qxc3'], ['Rd1', 'cxd4\n'], ['Bxd4', 'Qc4'], ['Bxa7', 'Qxe2'], ['Nxe2', 'Nc6'], ['Bc5', 'Ra8'], ['Nc3', 'Ra5'], ['Bb6', 'Ra3'], ['Nd5', 'Rxa2\n'], ['Re1', 'Bg7'], ['e6', 'Rd2'], ['Nc7', 'Be5'], ['Re4', 'Rd1+'], ['Kf2', 'Rb1'], ['Na8', 'Bxh2'], ['Bc7', 'Bg1+\n'], ['Ke2', 'Rb2+'], ['Kf1', 'Bd4'], ['Bf4', 'Rf2+'], ['Ke1', 'Rxg2'], ['Bh6', 'Rh2'], ['Bg5', 'Ra2'], ['Nc7', 'Ra5\n'], ['Bh6', 'Be5'], ['Bf4', 'Bxf4'], ['Rxf4', 'Rc5'], ['Kf2', 'Ne5']]",0-1
San Francisco,San Francisco,1991.??.??,11,"Wolff, Patrick G","Benjamin, Joel",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nc6'], ['exd5', 'exd5'], ['Bb5', 'Bd6'], ['dxc5', 'Bxc5'], ['O-O', 'Ne7\n'], ['Nb3', 'Bd6'], ['Re1', 'O-O'], ['Bd3', 'h6'], ['h3', 'Nf5'], ['c3', 'Qf6'], ['Bc2', 'Be6'], ['Qd3', 'Rfe8\n'], ['Bd2', 'g6'], ['Re2', 'Bf8'], ['Rae1', 'Nd6'], ['Nbd4', 'Ne4'], ['Nxe6', 'Rxe6'], ['Bb3', 'Nxd2'], ['Qxd2', 'Rd6\n'], ['Re8', 'Rxe8'], ['Rxe8', 'Kg7'], ['Bxd5', 'b5'], ['Re3', 'Qf5'], ['c4', 'bxc4'], ['Qc3+', 'Qf6'], ['Qxf6+', 'Kxf6\n'], ['Bxc4', 'Rd1+'], ['Re1', 'Rxe1+'], ['Nxe1', 'Ne5'], ['Bd5', 'Bc5'], ['Kf1', 'Ke7'], ['f4', 'Nd7'], ['Ke2', 'Bd4\n'], ['b3', 'Nb6'], ['Be4', 'Kd6'], ['Nf3', 'Bb2'], ['Kd3', 'Nd7'], ['b4', 'Ba3'], ['Kc3', 'Bc1'], ['g3', 'Nf6\n'], ['Kd3', 'Nh5'], ['Ne5', 'Nxg3'], ['Nxf7+', 'Kc7'], ['Nxh6', 'Bxf4'], ['Ng4', 'Kb6'], ['Bxg6', 'Kb5'], ['Ne3', 'Bg5\n'], ['Nc2', 'a5'], ['a4+', 'Kb6'], ['b5', 'Nf1'], ['Bf7', 'Ng3'], ['Ne3', 'Kc5'], ['Nc4', 'Bd8'], ['Bg6', 'Nh1\n'], ['Kc3', 'Nf2'], ['Bf5', 'Nd1+'], ['Kb3', 'Nf2'], ['b6', 'Kc6'], ['Kc3', 'Bf6+'], ['Kd2', 'Kb7'], ['Ke2', 'Bh4\n'], ['Kf3', 'Kc6'], ['Be4+', '']]",1-0
Triberg,Triberg,1991.??.??,1,"Wolff, Patrick G","Mainka, Romuald",,,A21,"[['c4', 'e5'], ['Nc3', 'Bb4'], ['g3', 'Bxc3'], ['bxc3', 'd6'], ['Bg2', 'Ne7'], ['Rb1', 'Nbc6'], ['d3', 'O-O'], ['Ba3', 'Rb8\n'], ['Nf3', 'h6'], ['O-O', 'Be6'], ['Qc2', 'Qd7'], ['c5', 'd5'], ['Rfd1', 'Bh3'], ['Bh1', 'Qe6'], ['c4', 'd4'], ['Re1', 'f5\n'], ['e3', 'dxe3'], ['Rxe3', 'f4'], ['Re4', 'Bf5'], ['Ree1', 'Rbd8'], ['Rxb7', 'Rxd3'], ['Qb2', 'e4'], ['Nh4', 'e3\n'], ['Rxc7', 'Rd2'], ['Bd5', 'exf2+'], ['Kg2', 'fxe1=Q+'], ['Qxd2', 'Qxd2+'], ['Kg1', 'Nxd5'], ['cxd5', 'Qee1+']]",0-1
Triberg,Triberg,1991.??.??,5,"Wolff, Patrick G","Cabanis, Jochen",,,A16,"[['c4', 'c6'], ['e4', 'Nf6'], ['Nc3', 'e6'], ['e5', 'Ng8'], ['d4', 'Bb4'], ['Nf3', 'Bxc3+'], ['bxc3', 'Qa5'], ['Qb3', 'Ne7\n'], ['Ba3', 'Ng6'], ['Bd3', 'Na6'], ['Bd6', 'Nf4'], ['Bf1', 'c5'], ['g3', 'cxd4'], ['gxf4', 'dxc3'], ['Qc2', 'f6\n'], ['Bg2', 'Kf7'], ['O-O', 'h6'], ['Nh4', 'f5'], ['Nxf5', 'exf5'], ['Qxf5+', 'Kg8'], ['Bd5+', 'Qxd5'], ['cxd5', 'b6\n'], ['Rac1', 'Bb7'], ['e6', 'dxe6'], ['dxe6', 'Re8'], ['Qf7+', 'Kh7'], ['Qxb7', 'Rxe6'], ['Be5', 'Nb4'], ['Qxg7+', '']]",1-0
Triberg,Triberg,1991.??.??,9,"Schaedler, Juergen","Wolff, Patrick G",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nc3', 'e6'], ['g4', 'Bg6'], ['Nge2', 'c5'], ['h4', 'h5'], ['Nf4', 'Bh7'], ['Nxh5', 'cxd4\n'], ['Qxd4', 'Bxc2'], ['Bg5', 'Qa5'], ['Rc1', 'Be4'], ['Rh3', 'Nc6'], ['Bb5', 'Ne7'], ['b4', 'Qa3'], ['Nxe4', 'Qxh3\n'], ['Nd6+', 'Kd7'], ['Nxf7', 'Rxh5'], ['gxh5', 'Nf5'], ['Bxc6+', 'bxc6'], ['Qd2', 'Nxh4'], ['Bxh4', 'Qxh4\n'], ['Nd6', 'Qh1+'], ['Ke2', 'Qxh5+'], ['Kf1', 'Qxe5'], ['Nf7', 'Qh5'], ['Ng5', 'Be7'], ['Nxe6', '']]",0-1
Hessen qual,Germany,1992.??.??,1,"Wolff, Patrick G","Boehle, Reinard",,,E70,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Nge2', 'O-O'], ['Ng3', 'e5'], ['d5', 'c6'], ['Be2', 'cxd5\n'], ['cxd5', 'Nbd7'], ['h4', 'h5'], ['Bg5', 'Qa5'], ['a3', 'a6'], ['b4', 'Qd8'], ['Rc1', 'a5'], ['Nb5', 'axb4\n'], ['axb4', 'Nb8'], ['Nc7', 'Ra3'], ['Qd2', 'Qd7'], ['f3', 'Qa4'], ['Bd1', 'Qd7'], ['Qb2', 'Ra7'], ['Be3', 'b6\n'], ['Bxb6', 'Rb7'], ['Ba5', 'Ne8'], ['Na8', 'Qb5'], ['Qf2', 'Bd7'], ['Nb6', 'Qd3'], ['Ne2', 'Bh6'], ['f4', 'Bg4\n'], ['Rc3', 'Qxe4'], ['Rc4', 'Qd3'], ['Rc3', 'Qf5'], ['Bc2', 'Qf6'], ['f5', 'gxf5'], ['Rc4', 'f4'], ['Rg1', 'Ng7\n'], ['Nc3', 'Nf5'], ['Bxf5', 'Qxf5'], ['Ne4', 'Qg6'], ['Rh1', 'f5'], ['Nc8', 'fxe4'], ['Nb6', 'e3'], ['Qb2', 'Bf5\n'], ['Rc3', 'Rg7'], ['Nc4', 'Qg3+'], ['Kd1', 'Bg4+'], ['Kc1', 'f3'], ['Kb1', 'Qxg2'], ['Qxg2', 'fxg2'], ['Rg1', 'Rf1+\n'], ['Rc1', 'e2'], ['Re1', 'Rxe1+'], ['Rxe1', 'g1=Q']]",0-1
Hessen qual,Germany,1992.??.??,2,"Weisser, Wolfgang","Wolff, Patrick G",,,D44,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['Nf3', 'e6'], ['Bg5', 'dxc4'], ['e4', 'b5'], ['e5', 'h6'], ['Bh4', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Nbd7'], ['exf6', 'Bb7'], ['g3', 'Qb6'], ['Bg2', 'Bh6'], ['Bxh6', 'Rxh6'], ['Qd2', 'Rxf6'], ['Ne4', 'Rg6\n'], ['Qf4', 'f5'], ['Nd6+', 'Ke7'], ['O-O', 'Rg4'], ['Nxf5+', 'exf5'], ['Qxf5', 'Rxd4'], ['Rad1', 'Rf8'], ['Rfe1+', 'Kd8\n'], ['Qe6', 'Rxf2']]",0-1
Hessen qual,Germany,1992.??.??,3,"Wolff, Patrick G","Branowski, Mieczylaw Wiliam",,,B10,"[['c4', 'c6'], ['e4', 'd5'], ['cxd5', 'cxd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['Bb5+', 'Bd7'], ['Bc4', 'Nf6'], ['d4', 'e6\n'], ['Nf3', 'Be7'], ['O-O', 'O-O'], ['Re1', 'Qc7'], ['Qe2', 'Nc6'], ['Bg5', 'Ng4'], ['Nb5', 'Qd8'], ['Bxe7', 'Nxe7\n'], ['Nd6', 'Qb6'], ['Nxf7', 'Rxf7'], ['Ng5', 'Nf6'], ['Bxe6', 'Bxe6'], ['Qxe6', 'Qxe6'], ['Rxe6', 'Nf5\n'], ['Nxf7', 'Kxf7'], ['d5', 'Nxd5'], ['Re5', 'Nfe7'], ['Rc1', 'Rd8'], ['g3', 'Rd7'], ['a3', 'Kf6'], ['f4', 'h6\n'], ['Re2', 'Rd6'], ['Kf2', 'h5'], ['Kf3', 'g6'], ['Rd2', 'Ke6'], ['h3', 'Rb6'], ['b4', 'a5'], ['bxa5', 'Rb3+\n'], ['Kf2', 'Rxa3'], ['Rc5', 'Kd6'], ['Rb5', 'Kc6'], ['Rdb2', 'Ra4'], ['Rxb7', 'Rxa5'], ['R7b3', 'Ra4'], ['h4', 'Kd6\n'], ['Re2', 'Rd4'], ['Ra3', 'Kd7'], ['Rf3', 'Nf5'], ['Ra3', 'Nde7'], ['Rb3', '']]",0-1
Hessen qual,Germany,1992.??.??,4,"Reschke, Thomas","Wolff, Patrick G",,,D04,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['e3', 'c6'], ['Bd3', 'Bg4'], ['Nbd2', 'Nbd7'], ['c4', 'e6'], ['O-O', 'dxc4'], ['Nxc4', 'Nb6\n'], ['Nce5', 'Bh5'], ['Qb3', 'Be7'], ['Ne1', 'O-O'], ['f4', 'c5'], ['dxc5', 'Bxc5'], ['Kh1', 'Qd5'], ['Qc2', 'Rac8\n'], ['Qb1', 'Rfd8'], ['b4', 'Be7'], ['a3', 'Na4'], ['e4', 'Qd4'], ['Bd2', 'Nc3'], ['Bxc3', 'Rxc3'], ['Ra2', 'Bd6\n'], ['Nc2', 'Qb6'], ['Nc4', 'Rxc4'], ['Bxc4', 'Nxe4'], ['Qe1', 'Qc6'], ['Bb3', 'Bc7'], ['Ne3', 'Bb6'], ['Nc4', 'Rd3\n'], ['Ne5', 'Re3'], ['Qxe3', 'Qb5'], ['Rc1', '']]",1-0
Hessen qual,Germany,1992.??.??,5,"Mittendorf, Frank","Wolff, Patrick G",,,A11,"[['Nf3', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['Nc3', 'e6'], ['b3', 'Nbd7'], ['Bb2', 'Be7'], ['d4', 'Ne4'], ['Nxe4', 'dxe4\n'], ['Nd2', 'f5'], ['Be2', 'O-O'], ['O-O', 'Bd6'], ['f4', 'b6'], ['Rf2', 'Bb7'], ['Qc2', 'Rf6'], ['c5', 'bxc5\n'], ['Nc4', 'Be7'], ['dxc5', 'Rh6'], ['Rd1', 'Bxc5'], ['Qc3', 'Bf8'], ['Ne5', 'Qh4'], ['g3', 'Qh3'], ['Rxd7', 'Rb8\n'], ['Nxc6', 'Rg6'], ['Nxb8', 'Bd5'], ['Rd8', 'Qh4'], ['Rxf8+', 'Kxf8'], ['Ba3+', 'Ke8'], ['Qc8+', 'Qd8\n'], ['Bb5+', '']]",1-0
Hessen qual,Germany,1992.??.??,6,"Wolff, Patrick G","Huehn, M.",,,A26,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'e5'], ['d3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'f5'], ['Nge2', 'Nf6'], ['O-O', 'O-O\n'], ['Rb1', 'Be6'], ['Nd5', 'h6'], ['b4', 'Qd7'], ['b5', 'Nd8'], ['Qa4', 'a5'], ['Qa3', 'fxe4'], ['dxe4', 'b6\n'], ['f3', 'Kh7'], ['Be3', 'Nf7'], ['Nec3', 'Rab8'], ['Qc1', 'Ng5'], ['h4', 'Nf7'], ['Nxf6+', 'Bxf6'], ['Nd5', 'Bg7\n'], ['Kf2', 'Nd8'], ['Ke2', 'Bg8'], ['Rh1', 'Ne6'], ['Bh3', 'Qf7'], ['Rf1', 'Rbe8'], ['Kd3', 'Qd7'], ['Bg2', 'Rf7\n'], ['Rf2', 'Ref8'], ['Qh1', 'Qd8'], ['Bh3', 'Qe8'], ['Rbf1', 'Kh8'], ['f4', 'exf4'], ['gxf4', 'Bh7'], ['h5', 'g5\n'], ['f5', 'Nc5+'], ['Bxc5', 'dxc5']]",1-0
